date,text
2023-03-31,"UPDATE 
Single Use Is Here! ---> https://youtu.be/sruYSfQV7dA"
2023-03-31,"The QC Earbuds II have mind-blowingly good ANC. Their ANC is not only the best in the earbuds world, but it is even better than any over ear headphones to this date. I tested them against the Bose QC45 and Sony XM4. With these state-of-the-are over ear headphones I was still able to hear a very very slight rumbling coming from the compressor of the fridge, which is already very impressive. But that noise was gone with the QC earbuds II. Same goes with noise types like chatting people etc. The QC Earbuds II kicks everything out of the water."
2023-03-31,"Sounds like they hit all of the major things that I like and need most: good sound, excellent noise cancellation, great phone call quality, great fit, splash resistant and total controls.  I have always liked Bose.  They just work."
2023-03-31,I seriously appreciate the way you displayed the headphones fit and functionality. Other reviewers don't do this often enough. Good work!
2023-03-31,"I don't think they deserve to be called a ""Huge"" disappointment. Smaller case, more charges, less bulky earbuds, more fitting combinations, improved touch controls, improved ANC, same amazing sound quality.  There's a whole lot of good here."
2023-03-31,Bose has confirmed the single bud mode will be available in a future firmware update
2024-03-30,"These are an improvement over the 1st gen buds. https://www.youtube.com/post/UgkxK5mc3yw4xA7Mf2j6k6n1Uqv_KUgrKdeM Pros: The fit is fantastic. This is the biggest plus. They stay in my ears when running and become unnoticeable. They are tight but comfortable. The sound quality is about the same as the 1st gen buds. They pair more easily with my LG G8 ThinQ and immediately reconnect when removed from the case. The sound balance is excellent, good but not overpowering base and clean mid tones and highs.Cons: The noise cancellation is good but perhaps a little less effective than the Bose ANC on the 1st gen buds. Passthrough mode as not as good as the 1st gen buds making it a little more difficult to hear conversations when in passthrough."
2023-03-31,"@ this price point people want wireless earbuds with bed and breakfast. Each product is designed for an specific goal, and for Bose is quiet and comfort. Can’t deny they do this pretty well."
2023-03-31,"The Bose QC 2 hit on all the main points for me. They're hands down the best ANC for wireless buds to date (Might be better than my Sony XM5 at ANC and those are over ear! No ). The ANC reduces noise so well you don't have to listen to music higher than 50% volume, saving your ears from any future hearing damage. These are fantastic buds for working out. Bose QC2  stay in your ear even with a sweaty workout. Bose did a wonderful job balancing the sound and there's an adjustable EQ for high, mids and lows or 4 presets you can choose from as well. The bass is thumpy asf and it's not too much where it drowns the mids. Touch control is very reliable. Bose created a nice curvature at the top of the headphone that makes for more accuracy for touch controls because it can better sense the tip of your finger. Transparency mode is almost as good as the new Airpods Pro 2. You can create your own transparency mode which is pretty cool. This review fails to mention independent use will be corrected with a firmware update soon but guessing at the time of the review it was not known to the reviewer. Wireless charging is a feature it should've included but I'm not one to use it often. The same goes for multipoint. If you're someone who cares about the meat and potatoes such as ANC,  sound quality, comfort, and  voice call performance you're gonna have a hard time finding any headphones (over ear included) that do it as well as the Bose Quietcomfort 2. ""Huge Disappointment"" is a misleading title for a fantastic product because it doesn't have wireless charging or multipoint (airpods 2 pro don't and many either). BUT THAT'S THE TREND, NEED THE CLICK BAIT."
2023-03-31,Loving these buds. Things like independent usage and wireless charging complaints is pretty lame.  I bought these for sound and ANC.   Not wireless charging
2023-03-31,"You gave the perfect review my man. Your the only person being honest about the most important 
things about the new release. Thank you once again. I have the 1st  gen, and all the points you covered where the questions I had before purchasing."
2023-03-31,"I totally agree with you, the most frustrating thing to me is not being able to use a single earpiece"
2023-03-31,"Appreciate the review - helped a lot in deciding to get the QCEIIs despite having purchased the previous version a couple of years ago.  Interesting to read the various comments posted - I've had a whole series of Bose head- and ear-phones over the years, in a job that involved a lot of planes, trains and automobiles (and occasionally Offshore oil & gas installations, steel foundries and the odd coal mine), so I was surprised to find a product review that was headed ""Huge Disappointment"".  I guess the real issue is that what all of us are looking for is a smaller, lighter pair of earbuds, ideally with on-board batteries that's last a day or so, and with a case that will provide an additional weeks worth of charge (wireless charging, of course), best in class ANC, touch controls for every possible function, waterproof, immune to gale-force winds, wireless charging and CODECs that will deliver high definition audio - and of course they need to stay put in my ears).  
Reality is that until these arrive there is always going to be a degree of compromise.  For me the priority is good audio quality, best possible ANC and adequate battery life.  If I'm planning to listed to listen to (and appreciate) Hi-def audio it's not  going to be on a train via a noise-cancelling device over bluetooth (I use a pair of wired 1More Quad Drivers).  Happy to lose the wireless charging for a much smaller charging case and better case battery life, and (maybe it's just me/my ears) but Bose earbuds are the only brand I've found that are comfortable and secure, thanks in the past to their ""wing-tip"" design (when I got my wired 1More Quad Drivers I was also hugely disappointed because the audio was fantastic, but they wouldn't stay in.  I was going to return them, but then found that my Bose wing-tips fit the 1More buds perfectly!"
2023-03-31,I didn't expect bose to fix mono mode or multipoint tbh... but taking away wireless charging made my jaw drop.
2024-03-30,"To me, Bose is #1 for sound quality (and noise cancelling). That's where it stands. If you need other features, and if those other features are more or as important as the sound quality, go with other brands. I always choose Bose because sound quality is my main choice when it comes to choosing a headphone (including in-ear)"
2023-03-31,"So I guess I can say I'm the first person that's used these solely in a shooting range with no real ""ears"" on or hearing ear muffs for the non shooting community I'll say they did a decent job for a 9mm in the range, outside ranges may be good enough for a centerfire rifle but I couldn't imagine using these for inside rifle fire. Overall these little super comfortable things are impressive.. I see this incorporated into the military while sound canceling and batt life gets better over the years"
2023-03-31,"Excellent review. I like what they have done with the size of the buds and the case. While it is disappointing they took away wireless charging, I have only done it once on my AirPods Pro.  So I could live with that.  Call quality is more important for me and that's where it sounds like they struggle a bit. But I will bet that they sound better than the new APP (second gen)."
2023-03-31,"Great review! I’m a longtime user of multiple Bose products, and I’m trying to hang in there with them because they have the best ANC (in my opinion, especially in the earbud market), but I too am disappointed with the fact that they seem to be moving backwards when it comes to technological advancements. 

Their QC30s, which I still have and occasionally use, were among the first earbuds (if not the first) to have adjustable noise canceling and multipoint connection capability. Likewise, it truly puzzles me, that they haven’t included that feature (on their earbuds) since the QC30s.

That said, I really like the ANC my Quiet Comforts provide so I preordered the Quiet Comfort II, “on the strength,” knowing they were missing the aforementioned features; although I’m having second thoughts about doing so."
2023-03-31,"I agree with him. Your paying all this money and their only improving some aspect from the original. I was going to buy them, I think I'll stick to my LG's. If I need that much ANC I'll use my Sony XM4s. As much as I want to buy them, Bose's needs to move forward, not backwards."
2023-03-31,"I agree with most of your complaints.  But I must say that when wearing earbuds I’m either talking on the phone or listening to music. I don’t want, or do I care to listening music in a mono mode!!!!  I’m a musician and music and sound is very important. Other than that I agree with your other complaints"
2023-03-31,"Thank you for the review. I am disappointed the case can't be charged wireless too. The customer rep told me the single earbud option will be available in the firmware update before the end of this year. Also, the good news is the chipset is the latest Qualcomm 5 chipset, so the options for upgrades and improvements are there for sure. Nonetheless, because of the case, I might be purchasing the Sennheiser Momentum TW 3."
2023-03-31,"I have these, and I'm able to use single usage mode, no problem. 

If you have the auto play/pause feature on, when you pull one of them out, it'll pause. Just unpause by touching the one still in your ear, and it continues to play. 
If you have the auto play/pause feature off, then you won't have to do anything when you pull one out. Simply, place the removed one back in the case as the music continues to play in the one still your ear. 
The left one is in my ear playing music and the right one is in the case, lid closed - as I'm typing this comment."
