date,text
2024-03-30,HTC was kind of... almost there with the Elite. Fun seeing some VR content from you!
2024-03-30,Please keep doing VR content. I love VR. No one really talks about or does benchmarks for PC minimum or rational specs with VR as a main driver.
2024-03-30,"When you guys do reviews of these vr headsets I’d like to see you do it as a round table between the three of you, or at least Jay and Phil, so you get more than one head’s perspective on fit and comfort. Looking forward to Phil’s stand-alone though."
2024-03-30,Quick note on the adjustable eye pieces for people with eye prescriptions: this can't work for you if you have astigmatism. You will still need to wear either glasses or some kind of prescription insert- if this headset can even acomodate that.
2024-03-30,"I've never seen Phil look more like a ""minion"" than when he put the housing on his face."
2024-03-30,"I don't have an XR Elite but I do have the Quest Pro. I absolutely love this headset, my seventh HMD and feels like a massive upgrade over everything else I've ever used. I have a top strap from Creative Studioform that really enhances the comfort for me, out of the box it presses on my forehead a lot."
2024-03-30,Bruh this Corsair ad. They better release it before I switch to Lian Li.
2024-03-30,I'm still surprised that everyone doesn't love VR as much as I do. It's nothing short of the ability to go on a mini-vacation anytime you want. It's crazy.
2024-03-30,Interesting point. The biggest drawback for people getting into vr is always the price just for it to increase in price with each iteration of vr. Somewhat like gatekeeping or running away from a potential audience/demographics
2024-10-01,When you said I'm looking forward to the day this is VR and held up your glasses. I am with you my friend in that boat.
2024-03-30,I feel like Jay should look into the BigScreen Beyond headset. Seems like it would be the perfect option for his personal racing rig at least.
2024-03-30,"I pre-ordered a Pimax Crystal. I am more confident in that offering, especially for racing sims, trucking sims, and flight sims."
2024-03-30,"I've been very happy with my HP Reverb G2 for racing and flight sims for a long time now. It has a high resolution and good image quality and doesn't break the bank either. Sure, it isn't wireless, but for sims that isn't really important anyway as you remain stationary/sitting and use racing wheels/HOTAS etc.."
2024-03-30,"The Pro and XR Elite, are headsets made for the non-existent (or barely if there is) ""Commercial use"", which also explains why the price only goes up.
Headsets like THESE are why i think people say VR is dead or dying, because the Cooperates all try to force EVERYTHING to Commercial use, which no one wants.
Because of this, the headsets fall flat on the people who actually use VR headsets.
At least that's how I've seen it with the lil I hear or what-not, and its the Impression I have."
2024-03-30,I really like that you review VR tech on your channel. It is still kind of a niche but hopefully will become more and more interesting for all gamers in the near future
2024-03-30,"Hey guys, I run a VR Arcade and we have 22 of the Vive Focus 3 which use the exact same controllers and can tell you they can take a bit of a beating, customers don't hit the wall all the time but they do once in a while and after a year of using them we haven't lost a single one. So I can confidently say kid resistant!

Got 3 of the XR Elites and didn't see the fluff though, I think it's packaging, they mention on there using a lot of recycled stuff which does that often.

The XR elite is an amazing headset, but there are some issues with the lenses quality, I feel like the Focus 3 was MUCH better value for money."
2024-03-30,Just wanted add that VR is really important for seated simulations like driving and flying sims. I use VR exclusively for Digital Combat Simulator (DCS) and it's utterly amazing for that title (and things like MSFS 2020).
2024-03-30,That Corsair ad is exactly what the far side of my tower looks like. Thank goodness for hard drives on a chip.
2024-03-30,"Honestly the worst part of VR for me was having to give it up because the headset belongs to my daughter and she needed it back.. I know Phil will agree with me when I say it makes a big difference to Elite Dangerous gameplay. I also miss playing with my Wall-E esque training robot, the butterflies in STEAM VR, my personal virtual workplace penthouse suite and having my own huge personal cinema.. :("
2024-03-30,Dial to setup lenses to prescription is a cool feature. I hope everyone will do this for VR headsets
2024-03-30,I love my Quest Pro! The inside  out tracking on the controllers is a game changer. Only drawback I have at the moment is the headset doesn't  see the controllers anymore since the latest firmware update. Hopefully they get it fixed soon.
2024-03-30,"For people experienced with VR light blockers are not a big issue, there is a reason most Quest Pro users don't use light blockers"
2024-03-30,"If you want an amazing, non-racing VR experience, get Half-life: Alyx. The main game is amazing and engaging with immersive mechanics. For example, covering your mouth to prevent you from coughing and attracting a certain enemy. But all the free workshop campaigns are also amazing. From mini golf to a John Wick simulator, all built on the same game engine."
2024-03-30,"Regarding the headset not fitting your face - perhaps giving the beyond vr headset a try would give you a good comparison as to what's ""possible"" and what's ""reasonable"" for personalized vs mass consumer hardware."
2024-03-30,Quest Pro Stereo-accurate '3D reconstructed 'passthrough is made primarily for overlaying 3D virtual objects. It's probably the most robust standalone mixed reality device out right now.
2024-03-30,"I have a HP Reverb G2 that I use for DCS.  The biggest problem I have is I also have an LG C2 42"" OLED as a monitor - and the VR headsets never look as good.  So while the immersion and feeling of VR flying is pretty great, the flat monitor just looks so much better.  I'm just waiting for the day of an affordable VR headset that can look as good as my OLED."
2024-03-30,"Jay: ""I only wear glasses because it looks good on camera""...."
2024-03-30,Just bought a Corsair 5000D airflow. I want this cable management thing announced already to see if it’ll actually help my new build.
2024-03-30,"I can't even justify the cost of a VR headset above $400.  I use mine primarily for DCS World and a few racing sims.  My Quest 2 (with Link, of course) still gives me what I need."
2024-03-30,The intro to this video was pure gold.
2024-03-30,"I returned my Quest Pro because it was painfully uncomfortable for my head shape, so definitely your mileage may vary on that. I was spoiled by the Quest 2 and the replacement headstrap options that really increased the comfort for me."
2024-03-30,"I have a valve index, I love it but people may not love the wires but that just means you can play hours without charging. But I’m sitting in a racing sim rig and not moving around a room."
2024-03-30,Really liking the idea of easy to adjust PD as well as adjusting the lenses for a  RX script. Although to be honest I just have magnetic clip on RX lenses in my Quest 2. I also see the HTC headset as a more premium level product vs the very budget friendly Quest 2 but it'd be awesome to not have to add additional thickness to the lenses to be able to see without glasses.
2024-03-30,"Love this stuff, I had my nearly 3 year old grandson watch some VR content of fish using my quest 2. It was so cool to see him processing what he was seeing combined with still hearing me. ""Papa! fishies!!!"" Where? him pointing all over."
