date,text
2023-03-31,"To see more of Riley's Unsolicited Tech Tips, buy things from dbrand: http://shortlinus.com"
2023-03-31,I love how confident they always are that the editors will save them from their mistakes.
2023-03-31,"It's not a proper Quest competitor at $1200. Quest Pro, maybe. But Quest 2? Nah

Edit: Now it seems a little more pointless with the Quest Pro's price drop"
2023-03-31,8:13 Just want to say that the index is a lower resolution of 1440*1600 per eye vs. the 1920*1920 per eye of this headset. (The valve index does have a larger FOV though).
2023-03-31,Shout out to the musician actor at Vive's booth! He reminds me of classic E3
2023-03-31,I want to watch 2 hours of riley giving strangers tech tips.
2023-03-31,"The adjustable diopters feature is SO GOOD. I wear glasses and have bought aftermarket lenses for my prescription for my Quest 2, but that reduces the FoV and my prescription changes slowly over time. Having adjustable focus in the headset fixes both those issues. I would happily pay a good chunk more for those features, but $1,099 with the same chip as the Quest 2 and only 90Hz...oof."
2023-03-31,This would be amazing if it also had eye tracking for foveated rendering like the Quest Pro and PSVR 2 -- really sounds like that'll be a must-have for high performance VR rendering in the future.
2023-03-31,"I like his nervous look to the HTC rep off screen when he says ""don't lie HTC..."""
2023-03-31,"You can't say it competes with the quest 2 when it's twice the price, thats like saying the 7900x competes with an 13500."
2023-03-31,"Holy shit, whatever marketing guru greenlit that French composer for CES is a bloody genius."
2023-03-31,Having a diopter or whatever it's called built in is really cool.  Safe to say a lot of people who don't even wear glasses might be able to benefit from being able to make slight adjustments.
2023-03-31,"I'm a little surprised no one is really saying much about this headset only having an XR2 gen 1, as a quest 2 owner it's apparent that the XR2 has aged a bit, and while it's still a great processor for VR, it was already fleeting in 2020 when the Quest 2 released. We are now in 2023 and this brand new headset has technology that is at least 3 years old. For a headset that costs $1099, you aren't really getting much longevity. You are getting a nicer device, absolutely, but HTC should have waited for XR2 Gen 2 or XR3, especially at this price point."
2023-03-31,"Would a lav mic give better audio for in-conference coverage?
Also, PROPS for calling them out on the resolution thing, that's what we call journalism!"
2023-03-31,"""You're not going to be locked into the Oculus ecosystem and have to use a hacky workaround to play your SteamVR games.""

But that's not the case with Oculus headsets.  They're officially supported by SteamVR the same way the Vive and Index are..."
2023-03-31,I'm glad HTC is still making VR headsets. This one looks like a decent return to form after they floundered for a few years post Valve partnership.
2023-03-31,"You don‘t need a hacky workaround to connect the Quest to Steam. When the Quest is connected to your PC, Steam VR recognizes the headset immediately."
2023-03-31,I love the glasses thing but at $1100 I'll be buying something else with a glasses spacer or an extra lens for it.
2023-03-31,"Dude, finally a headset that isn't locked behind an account wall. Steam is the only place besides Epic Games to download any game period except for Gamejolt where you can download a game without account based requirements. Steam and Epic games is that but have massive libraries to the point everyone just has a Steam account... And also everyone has a Microsoft account because Windows is the only platform anyone could imagine using on a PC not know Linux Mint exists. I might actually buy this."
2023-03-31,"Boy I hope that title is meant to be ""a real quest PRO competitor""

Because at over twice the price of the quest 2 this is not competition

That's like saying a Honda civic is competition with a Lamborghini"
2023-03-31,"You told HTC not to lie about resolution and then you liked about the resolution. You said the Valve Index has higher resolution, but it's only 1440x1600 per eye while the HTC Vive XR Elite is 1920x1920 per eye. That's a significant improvement. It's almost identical to the Quest 2 resolution of 1920x1832 per eye, but still is technically higher. Especially when you consider that the Quest 2 uses a single screen instead of two screens and some of the pixels are out of view."
2023-03-31,"The Meta Quest 2 (2020) offers a 120Hz refresh rate compared to the 90Hz HTC Vive XR Elite (2023). Both headsets use the old Snapdragon XR2 with active cooling. 
Later this year the XR2 Gen 2 is expected with up to 3x GPU performance jumping from 7nm to 4nm."
2023-03-31,God I love how much Riley hated doing those ad segments
2023-03-31,"Some major stuff that others probably mentioned: The headset is not native SteamVR - it's compressed just like the Quest 2. Also, Index has a lower resolution than the XR Elite."
2023-03-31,i wish he would stop calling me guitar
2023-03-31,The glasses diopter thing is absolutely the biggest selling point of these to me and a bunch of others. Still expensive but if the diopter works well…absolutely nothing beats that
2023-03-31,Jeez man can you guys throw Nvidia Broadcast at this audio or something? I get it's busy but there is a TON of background noise. You guys have been great about that in all of these videos of CES. But this one was brutal lol.
2023-03-31,"I think they definitely win in the coolest looking headset category, these oversized aviators look way cooler than those chunky brick or shapeless Blob designs of most other headsets. (Rift S was pretty dope too imo)"
2023-03-31,"This is crazy, instead of making a better headset than the quest2, they make something that is equal, but costs three times as much.
For example, why does nobody make a standalone headset, that you can also connect to a pc, without streaming the picture as a video, so your gpu has to work on additional workload? That would be a nice feature."
2023-03-31,"Man I do love that there is another option, but the issue is that Facebook is the only budget option. VR is going to continue to be dominated by Facebook until we get budget options for VR from other brands. I love VR but I refuse to use Facebooks machine, and I can't really afford these 1000$+ machines."
2023-03-31,A $1100 headset competing with a $400 product? Really? They played you guys for fools.
2023-03-31,"While I do like the dial for glasses, ordering prescription lensen to put in your vr set is also a thing and definitely worth it."
2023-03-31,"Thank you! I'm surprised by how many unique points your brought up compared to everyone else I've watched so far. Definitely need to see a full review of the final product, if it's still flimsy I will rather invest in a Lynx R1headset."
2023-03-31,3:00 What? Steam VR doesn't need a workaround to function on the quest headsets.
2023-03-31,"I'm pretty sure this is competing with the Quest pro, not the Quest 2"
2023-03-31,"Major kudos for not being scared and sticking to you guns, even with them right there! Now I get that it's Linus and no company would be stupid enough to tkae them on, but it still takes some cajones to call them out at there own booth right in front of them!  Dude didn't give them an inch, and didn't let them push him around or didn't fall for their marketing tricks. He was being honest and gave his unbiased opinion about everything in a calm and fair manner, and IMO now more than ever we desperately need more of that! 

I personally can't stand when tech youtubers completely change their tone and attitudes when they are in any kind of proximity to the big companies or at big show like this. Like any trace of objectivity or being impartialness goes right out the window (or even worse they just outright start being suck-ups), so they can stay in good standing with them and so keep getting review samples, not caring that it hurts their reputation and/or any trust they've built up with their viewers."
2023-03-31,"Not your best video, guys. There's a number of inaccurate claims and statements like, just to name two, 2 hours is not amazing battery life, that's just par for the course. The controllers are similar to the Quest 2, not the Quest Pro, they're a whole different beast. I also hear they won't be natively compatible with the Vive trackers pucks which is a huge letdown."
2023-03-31,"Err, the Quest, Quest 2 and Quest Pro all work with SteamVR out of the box too and thanks to sidequest you are not locked into The Oculus eco-system for standalone apps either."
2023-03-31,For that kinda price I would want the plastics to be carbon fiber
2023-03-31,Powerful new XR2? It's the same chip the Quest 2 launched with in 2020. Not sure I'd consider 2 hours great battery life. It's at the lower end of Quest 2 estimates.
2023-03-31,"I wish they did 2 cameras for better depth for the pass-through vision, but this looks solid. Though I’m curious to see what Apple brings to the table."
2023-03-31,The XR Elite's direct competitor is the Quest Pro. VIVE Focus 3 is HTC's answer to Quest 2.
2023-03-31,"""finger on the trigger, as we do here in the US"" 
What a legend"
2023-03-31,"If this doesn't support lighthouses that's a dealbreaker for me. I don't want inside-out tracking only, even if it's very good in front of your face."
2023-03-31,"""That's not 4k!"" - looks at HTC Staff 

Love it!"
2023-03-31,0:53 incredible battery is only 2 hours? So other standalone headsets which are the same or slightly better are also incredible
2023-03-31,"1100€
That's it, thanks for reading."
2023-03-31,"Metal can be both lighter and stronger than most plastics. They choice of materials here was made for COST, not weight. Making it with lightweight metals would have made the headset pretty expensive. Magnesium is extremely light and very strong, but also really expensive. For this sort of device, it would be the absolute best choice for weight and strength, but cost is always a factor, and that might double the final cost."
2023-03-31,as someone approaching over  -6 per eye I am glad  to see that dial for people with glasses but I hope that becomes a standard in the headsets and not just on bazillion dollar ones
2023-03-31,“competing” with the quest 2 but its like 2.5x the price…
2023-03-31,Hope valve comes with the second generation this year
2023-03-31,"The big stand-out is the build-in support for (simple) glasses - all they need now is visual adjustments in software to allow people like me with both prism and cylinder adjustments, to use a VR device! We're getting there!"
2023-03-31,I feel like you kept comparing it to the quest 2 but for the price and features I think it makes more sense to be a quest pro competitor. I'd like to know how it stacks up to that instead
2023-03-31,"Yeah that’s not consumer VR, that’s what we call “prosumer”. Waaaay out of the price range of your average person, especially nowadays."
2023-03-31,Love the positive review. I had a very good experience with my original of Vive which was replaced by the index but if you say with the tracking is a bit of a stretch so I don't use the index nearly as often as I would like. If I wasn't waiting for the psvr 2 I  would definitely consider this a buy very soon
2023-03-31,Maybe for half the price it would be pretty okay. Raising prices just to make a better headset than something they made years ago is pathetic.
2023-03-31,Did they… hire an actor/model for that ad? He’s too good looking for a random “man on the street”.  4:53
2023-03-31,"I was extremely hopeful about this headset because of all the features like dioptre ajdustement, extremely light weight, capable of wireless PC VR, pancake lenses. The resolution is decent - could be better but I could take it. 

However what killed it for me wasn't even the price. It was the FOV. It's comparable to Quest 2 FOV and I'm not gonna lie - while I did enjoy Quest 2 quite a lot I felt constrained a bit by FOV and after getting Index I couldn't go back to anything that would be significantly lower like that. E.g Pico 4 has only 5 degree less FOV - so that is an acceptable change for the clarity pico offers. However Quest 2 FOV with that resolution is absolutely not okay. Also with this resolution they could've at least push it to 120 Hz. I'm okay with 90 as long as the resolution warrants clarity and no SDE."
2023-03-31,"It's more expensive than the Valve Index but only offers a 90hz refresh rate and those speakers might get loud but I don't know if they (or the mic) will actually sound good.
Some very nice features with the perscription adjustment and some modularity, but I'm not in a hurry to get a new headset if it means I have to downgrade anything, especially something as important as the refresh rate. I personally also don't consider the tether wire or the base stations a downside so my 'important features' heirarchy is probably quite different to the people this headset is targeting."
2023-03-31,Anything that is standalone is AWESOME! Heck my brother got the family a Meta Quest 2 and I LOVE IT! So much to a point to where I will get my own headset next month when I get paid. :)
2023-03-31,"There's a few issues with this video:

1. The battery life is up to two hours -  the Quest 2 does more than that standalone and has a battery strap that adds an extra hour and a half or so. It has more than the pathetic Quest Pro, however.
2. The Valve Index is lower resolution than this, but runs at a higher framerate (144hz) meaning the total pixels pushed to your eyes per second is equal.
3. There's no ""hacky workaround"" for launching SteamVR on Quest hardware: it's an application in the otherwise pointless Oculus Home environment, or you can grab the far superior Virtual Desktop app.
4. The off-head sensor is not novel: both the Quest and Index have it.
5. The controllers are not new: they're the same from the Vive Focus 3.

Both this and the Quest Pro are late-to-market headsets, as the XR2 chip is two years old and will be deprecated later this year when the Quest 3 launches in Sept-Oct. This headset is a well-executed piece of tech but the market will not support it."
2023-03-31,"I see a lot of comments about it not being a decent competition to other, less pricy or more feature rich headsets. However, it's the first headset that has decent support for AR, and which is not made by Facebook (Meta might want to distance itself from their bad reputation by renaming, but they will always be Facebook in my eyes). 

For people like me who wouldn't buy any VR headset before decent Augmented Reality is implemented, and that don't use Facebook and don't want to make a Facebook account to use their device, it's the first headset I'm actually considering."
2023-03-31,"""competing Quest 2"" 
$400 vs $1100 
Ok, whatever you say."
2023-03-31,"Man, I was so hyped to sell my Quest 2 and buy this untill I heard that $1200. I really wish there were any decent competitors to Facebook in low-budget vr :("
2023-03-31,The quality of recruitment at LMG is off the charts
2023-03-31,"$1200 ?
I hate using anything related to Meta but Quest 2 wins EASILY.
with $1200 I at least would expect full hands tracking at least and maybe Eyes tracking.
with these two I can ""Kind of"" accept the price."
2023-03-31,Happy with my just bought Valve index. It wasn't available in Australia for so many years untill recently!
2023-03-31,You definitely don't need a 'hacky workaround' to play steam games on the quest 2
2024-08-02,"I haven't kept up with VR technology since I bought my own Vive, and I'm absolutely mindblown at the concept of standalone VR headsets. It might be worth it to get a new headset"
2023-03-31,"Having glasses and wanting VR, this is a perfect product for me"
2023-03-31,It's really annoying to have the comparison to the Quest 2. The Quest Pro is it's competitor without a doubt. 95% of people with a quest 2 would not get this. Come on guys this is fairly obvious given the 700 dollar price difference.
2023-03-31,1200 bucks?! Oof.
2023-03-31,"Just a fantastic review. Thank you. So many other videos just skim passed the specs, but your in depth look at build quality and features was fantastic! Thank you!"
2023-03-31,"Im exited to get a non facebook quest 2, even if it comes at a higher price"
2023-03-31,"an INCREDIBLE 2 WHOLE HOURS OF BATTERY!
wtf"
2023-03-31,1100??? How is that a competition?? Click baiting overdrive here. It's gonna flop at that price. Looks sick though.
2023-03-31,"Thank god they put the battery in the back like that, balancing the weight makes a huge difference. Looks like it would be very comfortable."
2023-03-31,"Really buried the lead with the price. More of a quest pro competitor, and the quest pro has more features."
2023-03-31,"""competing with the Q2"" at almost 3 time the price, yes... is competing with the Pro.... 
just few week ago when they talked about the Pro ""2 to 3 hrs battery life, is awful"", today ""this has 2 hr battery life, it's amazing"".... wow"
2023-03-31,"Competing with the Quest 2 at three times the cost. Real good idea there, HTC."
2023-03-31,"""I'm a huge classic music fan""
Doesn't know who Verdi is"
2023-03-31,This video is so full of mistakes.
2023-03-31,"Much like PSVR2, this is extremely underwhelming. The raw power isn't gapping the quest 2 in anything except for price. The refresh rate, FOV and resolution are roughly on par. Quest 2 natively supports wireless PC play, as well as their own bigger/better store, as well as the ""sidequest"" store. Now that we've seen PSVR2, steam is busy with the deck, and now we see HTC's new entry, it's become painfully clear I'll be waiting for ""meta's"" next flagship VR headset. I like to feel generational improvements, and clearly they're all competing with what the quest 2 achieved years ago (except much more expensive)"
2023-03-31,"Lol @ 3:08 I could feel the burn from even over here!

Looks good and all but rather pricey."
2023-03-31,"I will always watch all dBrand ads that any of you do. Such innovative advertising is what has made them a part of my memory, so even if I don't have anything to buy now, when I do, I will for sure remember them lol."
2023-03-31,I get that Short Circuit is supposed to be short and this was shot live at CES but the editing at the end was really jarring in this one.
2023-03-31,You can pick your phone up while wearing it and type a message. That right there just crushed the Quest Pro
2023-03-31,The funny thing is that their consumer VR tends to be the Pro 2 among enthusiast used with Index controllers. Consumers tend to use Quest 2. And Quest 2 users them selves are just buying the inside out controllers as an upgrade.
2023-03-31,5:00 I'm sorry these controllers look a lot more like the quest 2 controllers that are tracked by the headset than the quest pro ones and I don't see the cameras on them that would be necessary for camera based inside out tracking... Pretty sure they just do the usual tracked by the HMD's cameras using IR LEDs in the ring scheme.
2023-03-31,For this price i'd expect something higher than 110 FOV
2023-03-31,"A correction needs to me made, this isnt meant to rival the Quest 2, its meant to rival the Quest Pro, it (almost) has all the Quest Pro features, plus extra stuff. If it was meant to rival the Quest 2, it wouldnt be so expensive"
2023-03-31,dbrand trying to get Riley to do Billy on the Street but with Tech Tips is pure gold
2023-03-31,"That awkward cut from Riley back to ""anyway, change the topic"" was gold."
2023-03-31,I'd love to hear about the company privacy settings for these things.
2023-03-31,"The good thing about Quest 2 is that it cost only $400 with more powerful processor than Nintendo Switch, decent enough speakers, microphone, and storage (the lowest one). Also it is extremely reliable in stock setting"
2023-03-31,"I'm super interested in this headset, I like that you don't have to wear glasses with it, that part of the Oculus quest 2 always made me nervous about scratching the lenses (even with the spacers and frame attachment), I hope htc takes into consideration some of the critiques in this video to get it ready for prime time!"
2023-03-31,"I like the reverbs / valve index audio more^^

The dial so you don't need glasses is very cool though :D"
2023-03-31,"I liked the double jab at meta at the beginning. 

But this headset won’t make any significant impact on the market."
2023-03-31,"I just got my Pico 4, within 20 minutes of using it, my quest 2 was reset, boxed up and sold. amazing headset. however, learning that this one can adjust instead of having to wear glasses or get repscription lenses, Im interested."
2023-03-31,"It is a pet peeve of mine when people say a headset like this is a competitor to the quest 2 but then the price is well over 1000$. Like this is clearly an enthusiast headset, not a casual consumer headset, it's a 100% different class of product."
2023-03-31,This headset is perfect for arcade style setups / virtual laser tag with several players & similar. You can exchange the battery without shutting it down. It has a proper depth sensor and passthrough. It is extremely light if used without battery. I can see this getting very successful for businesses that sell VR experiences. Not sure if this will be a success for home consumers though at that price point.
2023-03-31,"Watching videos like these does anyone else feel like they're seeing the rapid evolution of a technology that you just kind of don't care about that much?  Obviously if you're into VR that doesn't apply to you, but as a gamer and a PC user watching these videos kind of feels like being a car guy and watching a video on new chair upholstery technology."
2023-03-31,LMAO the nervous glances at the HTC guys when calling out the 4K line
2023-03-31,"Quick correction - the XR Elite ($1100) is competing with the Quest Pro ($1500), not the Quest 2 ($400)."
2023-03-31,Built in prescription adjustment! I love that that's a things. Might just need to start saving
2023-03-31,"Given that the perceived resolution is dependent on the distance to the eye, the optics, and the screen resolution, wouldn't it be better to report/emphasize the angular resolution or pixels-per-degree (PPD)? The same screen resolution on two different head sets could lead to totally different experiences depending on these other factors. Beyond that, I think pixel response time is also extremely import for VR (as is refresh rate, but that at least is commonly reported in marketing materials)."
2023-03-31,The valve index does not have a higher resolution. A correction would be appreciated.
2023-03-31,"I love the perscription thing, as a glassess wearer with around -5 on both eyes and I can't wear lenses, so it's a really good soltion."
2023-03-31,"I bet they'll sell like, 5 of these. And those people will only be able to play the few tech demos. If I wanted a standalone headset, the Quest already exists."
2023-03-31,"I do hope they offer a PC-only version, as I don't really have a use for built-in VR. I'm having controller issues with my WMR, and MS abandoned us. I'm heavily considering just going Index, but a PC only version of this could make sense."
2023-03-31,at this price should have base station tracking
2023-03-31,"I'd like to see a return to tethered VR headsets with the newer lens tech, making something as small or smaller than this while being cheaper, lighter, and with a long, light, flexible cable."
2023-03-31,"Onestly the only stand alone headset that I found interesting on this CES, is the pimax crystal. 
Hope it will be a good headset."
2023-03-31,"I bet someone else already pointed out the Index is not higher resolution (1440x1600 vs 1920x1920).
It does have a native displayport signal though, so no compression artifacts."
2023-03-31,Valve Index has a higher resolution? That thing is totally outdated at 1440 x 1600.
2024-09-01,"Wow, the optics with the focus is awesome, im a glasses wearer so yeah love that"
2023-03-31,"You can get the Index with controllers and base stations for this price
The index alone costs less than that"
2023-03-31,"The horizontal resultion is 3840. 3.84K is close enough to 4K.

Calling it a ""lie"" is extremely unfair. It is close enough to standard 4K to get the extremely powerful marketing, when it's nearly the same."
2023-03-31,Why did he keep comparing it to the quest 2 when he should have been comparing  it to the quest pro? It really came off as a VR noob talking about VR.
2023-03-31,"""Don't lie HTC. I don't like it"""
2023-03-31,"In defense of the quest 2 I will say that it does not require a “hacky” fix to play steam VR.

You launch the oculus home program, connect the headset to the computer and launch the steam VR game you want to play."
2023-03-31,Please bring back the original Rift controller design with the ring on the bottom! I loved being able to drop the controllers onto my thumbs. The rings on the bottom also felt less cumbersome.
2023-03-31,"So you are talking about a 1 month turnaround for this product. I personally don't see how they would fix the head clips nor the gasket attachment within that amount of time since I can only assume they are finalizing and preparing for mass production. Otherwise, this product looks great, very promising."
2023-03-31,"The XR2 is not a new chip. It is already 3 years old.
Those controllers use outside in tracking unlike the quest pro's which use inside out tracking.
Quest headsets come out of the box with airlink which let's you use PCVR if you want to."
2023-03-31,"At $1200, this is a Quest Pro competitor. It costs 3 times as much as a Quest 2...."
2023-03-31,Can't believe it's so hard to for other companies to make good controllers. Look at the index ones... One simple strap is the difference between holding a stick and having an extension to your hands
2023-03-31,"I only want a headset for PC VR with inside-out tracking, fantastic ""displays"" and eye tracking; don't need the rest of the standalone bloat. Bonus points if it is able to do it wirelessly."
2023-03-31,Note that the diopter adjustment doesn't work if you have astigmatism
2023-03-31,"I know it’s expensive. But it’s feature set — the diopter adjustment alone, plus the pancake lenses, is amazing for me. The Quest 2 I have is good sure, but the lens inserts I have so I can see suck lol, the FOV sucks, the weight sucks for PCVR usage. This fixes basically all of that"
2023-03-31,closer to a quest pro competitor given that price and form factor
2023-03-31,"Omg, this looks perfect!

1) stand alone for portable experience - check!

2) can run my PC VR games when I am at home - check!

3) does not require META account and wont force Suckerberg into my life! - check!

Time to sell my old rift it looks like"
2023-03-31,"to use steam vr on a quest 2 you just have to use air link or a passthrough cable which are both native features on a quest 2. 3:00 what ""hacky workaround"" is he referring to?"
