date,text
2024-03-30,How does a 12 min review about a sound product only have 4 seconds of reviewing the sound. The sound is literally the most important part
2024-03-30,"I got the XM3, XM4 and now the XM5. They have continued to get better every iteration. All of them still work great so there's always a back up. I've worn them for working out and hiking, they've taken a beating and still awesome."
2024-03-30,"I had the xm4s as well(still do) and just picked up the xm5 yesterday, and can confidently say rhat after extensive listening, the xm5s are much improved in sound details and voice/instrumental separation and clean/clear depth with music.  I am very impressed actually, they sound a fair bit better than my xm4 over ears as well.  This is with Tidal and ldac codec by the way.  Hope this helps with additional description on sound of these earbuds."
2024-03-30,"I went for the Linkbuds S after the XM4. These are a joy to use. Everyday, as soon as I cross the door at work, I put them on and everything is so calming. The way they pack so much in such small earbuds is really impressive
A quick equalization and I have nothing bad to say"
2024-03-30,"I already preordered them. 
The noise cancelling alone is worth it even without listening to anything."
2024-03-30,"Those chime notifications that happen when switching modes can be disabled very quickly on the 1000XM4 earbuds via the software. Flip off the ""Notification and Voice guide"" toggle under system settings. I would be very surprised if Sony deleted this very important feature! Those notifications going off every time the noise canceling software switches modes is very annoying."
2024-03-30,"I am still using my Sony Linkbuds S and it just feels so great. So compact and I believe it is still the lightest wireless earbuds in the market. I never felt any ear strain at all. In fact, I fell asleep while wearing it and removed them when I woke up. No discomfort at all which really surprised me."
2024-03-30,"My order will be delivered by tomorrow, can’t wait to use them.
A little complaint about the case led, the one from xm4 looks much better than xm5’s."
2024-03-30,"The Sony Linkbuds S are so underrated! The noise cancelling is so good and the size and fit are perfect. I had purchased so many earbuds before, looking for the right one, and they are it. I would love to have some XM5s but i'm not in a rush to replace my linkbuds."
2024-03-30,"i had 2 pairs of the XM4s.  The second i got because my first pair was run over and I thought I loved them, but then i lost one of the repalcement XM4s and i couldn't afford a 3rd pair.  So I got the LinkBudS and I actually liked those way more.  The XM4's were uncomfortable to wear for long periods of time and they were heavy, but the LinkBudS were so much lighter and more comfortable to wear for hours at a time.  A few EQ tweaks and I couldn't tell the difference between the Links and the XM4.  This XM5 looks very similar in shape and form factor as the LinkBudS.  So I am curious about these XM5's."
2024-03-30,"Just got these yesterday and I agree with you 100%. Me and you actually have the same use case with TWS. I use the Air Pod Pro 2s as my daily driver with my iPhone. I wanted something with multi connect for work. I have the Linbuds S and I too love them, but wanted more Audiophile quality when I listened to music. Hard to beat the comfort of the Linbuds S and the Air Pod Pros tho. I had the XM4s, but returned them because of size...the XM5s are much better than the 4s. So we will see if I think they are worth the $300 by the end of the week. Then decide if I want to keep them."
2024-03-30,"I'm loving my XM5's. I havent touch my Bose QC2 earbuds since getting my XM5's.

Im surprised how comfortable they are."
