date,text
2024-03-30,"From what i gather about the fit and wear of the foam tips is that Far East Asians(Japanese, Korean, Chinese) don't have the problems that the Westerners are experiencing. Asians typically have smaller ears, narrower ear canals, and dryer ears. Asians actually have dry flakey ear wax and almost never have ear sweat, unlike westerners that have greasy ""wet"" ear wax and sweat in their ears. Guess Sony did most of their testing domestically."
2024-03-30,EDIT I forgot to mention with the new chip these have dynamic head tracking which give them spatial audio. Although its done fairly well on this pair I still feel spatial audio is pretty gimmicky with music and I never use this feature
2024-03-30,For someone using the XM4 after trying the XM5 I think the difference is nice and day and I suggest you to check if you are not using a faulty one…I’ve managed to use both of them while travelling just to see the difference before selling the Xm4.  The major thing that I don’t like is the price tag.
2024-03-30,Shocking as I have heard the noise cancellation was better than the xm4.
2024-03-30,"I have xm5's, and they have plenty of bass. Chek it if your buds seal good in your ears. When you find best eartips for your ear, they is an exellent for sound and also for NC.
And dont put any eartips on the buds because original eartips have a small net for blocking earwax  to enter in buds."
2024-03-30,"Just got mine and they’re less bulky than the xm4’s and while I absolutely love the xm4, I have to say for my smaller ears the design of the xm5 fit better and offer me better noise canceling in return. Absolutely worth the upgrade on my part."
2024-03-30,"Thanks so much for an excellent review and I'm sooo happy that you're continuing doing reviews. You would have been sorely missed! I had a similiar experience with the XM4s, meaning, no matter how many EQ settings I tried, I couldn't get the volume, bass and overall soundstage I wanted for my personal tastes. I also had issues with comfort. I ended up selling mine. The price vs performance ratio was disspointing."
2024-03-30,"Awww man, sorry to hear your experience. I'm having a much different experience. Sound is superb and ANC is on par with Bose QC II and Airpod pro 2. I have all 3 and the sonys are my new favorite right now."
2024-03-30,"Ohh also, not only does the foam eartips make the anc a lot better than silicone, but the thing you said about the tracks sounding different, here's what the audiofile I spoke to said: ""when earbuds are with amazing sound quality you're gonna be able to hear way more details in different songs, like how they were recorded for example. Old songs haven't been recorded as well as some new songs and with better quiality earbuds you can now hear that more clearly, and get disapointed. It might make you start to change your entire music taste to songs that have been recorded better and such, just to get that amazing feeling"". Basically it's actually normal if different tracks sound completely different with them. Even when you go between spotify and youtube or other places, there's massive differences in the sound track, so.. some songs will underperform, which you couldn't hear before, but now you can :) I will try to judge if this is the case with the earbuds when they arrive at my apartment. Really hoping they have even better sound than the MTW 3 did, cus I was loving that sound quality :3 (But there I noticed the recording differences already between the tracks I was listening to, which I never used to notice on my old jabra 75T elite active)"
2024-03-30,"We agree with your statement about ear buds getting way too expensive for what they are. Also agree about these particular ear tips. Had to replace them with more money spent on a third party silicone tips. Also agree about these not sounding the best.  Even spending a lot of time in the app trying out various settings did not compare with our faves. Have to say that some weeks ago you reviewed a pair of ear buds that seemed to impress you. They were on sale for $35, in llieu of their usual $50 tag. We chuckled and thought...why not. Ordered. Arrived. They blew us away. Comfortable  with some really good audio. Worth the money indeed. Thank you."
2024-03-30,"1:38 Multipoint pairing: you cannot use ANC or ambient sound when using this.
2:48 Speak-to-chat: you have to be the one to initiate the conversation to trigger it. and depending on your sensitivity setting and background noise, it doesn't always get triggered.
3:55 Touch controls: you do not have control over everything. you can select preset groups of controls, but not fully customizable."
2024-03-30,"""This is what it would sound like to take a call in public."" CLASSIC line as always."
2024-03-30,Sound quality is excellent on my xm5's and i have no Battery drain issues like I did on my previous XM4s. Its a good thing you can be successful on the internet with weird and peculiar takes and get praised for it in an echo chamber.
2024-03-30,That's pretty crazy and disappointing that the sound and the noise cancelling are so mediocre for $300. Thanks for making this review.
2024-03-30,"I went JBL Reflect Flow Pro for sport (inline skate) and really I have no complaints whatsoever. Only had to EQ the bass a bit low cause they're overpowered. Other than that they're perfect, great cancelling too."
2024-03-30,The reason you think the noise canceling is worse is probably because they don't fit you well. The seal is critical to an ANC algorithm working properly. Most reviewers found the noise cancelling to be improved.
2024-03-30,"I had issues with the foam tips, could not get a good seal per their app test, both sound quality and ANC were not good
Switched to some foam tips from a 3rd party and got a good seal
Significant improvement in ANC and Sound quality
Suggest you change tips and re-evaluate"
2024-03-30,"I got mine 2 days ago and they are great but I only have a problem with comfort.
They feel (not are) kinda loose although they fit snug so they won't fall out easily. And because they're kept into place solely by the ear tip itself, they don't feel great.
My previous earbuds were the Sennheiser MTW3 and they were a lot more comfortable imo.
A wing on the earbud like Bose or Sennheiser does would've been great to fix that problem"
2024-03-30,"Most reviews I've watched, people say the xm5s are better then the air pods and the bose. Idk maybe they updated it I'm confused."
2024-03-30,"I really appreciate your honest review. It seems like so many tech reviews just gush all over these. My experience with the XM5's has been terrible. Maybe I have a bad pair but the sound is awful and noise cancelling is abysmal. At this price, I decided to initiate a return with Sony and that has taken me a week of run around to finally get the RMA setup so I can mail them back. I have better sounding buds that cost $100-200 less than the XM5's."
2024-03-30,Thanks for your honest review this will most likely save me 299 time to move on to other brand Sony is getting worst
2024-03-30,The first thing you do with XM 4 or 5 is change the ear tips to regular Plano rubber ear tips you will get better sound and more Bass
2024-03-30,"Honestly I haven't been that impressed with Sonys sound quality for the last few earbuds.  
So far, the anker soundcore liberty series have been the best, and my samsung galaxy buds pro 2 have become my number 1!
Galaxy buds pro 2 are best for sound quality right now."
2024-03-30,"I bought the M4 a year ago and I was really disappointed because it was so quite no matter how much you played with the EQ, After that I bought the  Bose Quietcomfort earbuds 2.
Should I I buy they M5? all I care about is sound quality, I want to feel music experience and loud sound.
Thanks!! 
Great video!!"
2024-03-30,"Boy, you weren't kidding about the ANC. I actually thought they were broken at first. After making sure that I had a perfect seal, it performed much better, but the ANC my Liberty 4 NCs absolutely put these to shame, especially in the voice department."
