date,text
2023-03-28,I really love watching about stuff I cannot afford.
2023-03-28,"One thing I've noticed is the directionality of the transparency mode seems much improved. I go on a lot of walks with my camera and take pictures of birds, and often have my Airpods in listening to music, but use transparency mode to listen for birds. On the previous generation, it was often difficult to pinpoint exactly where a bird was. It was more a general direction, like to the left or right of me, but pinpointing a specific direction or height was difficult. First walk with the new ones and I was hearing the birds so clearly and coming from such a specific direction that I couldn't initially tell if it was coming from the song I was listening to or not. I heard a bird from directly above me and looked up just in time to see a bird flying directly overhead, exactly where I heard the sound come from. I could easily hear the footsteps of people coming up from behind me on the walking path too. Really excited to go for my first run with them tonight and hopefully get some experience with the adaptive part of the transparency mode."
2023-03-28,Whoever edited the explanation on how adaptive transparency works did a beautiful job!
2024-07-30,Just came here to justify my purchase.
2023-03-28,I'm a fire alarm technician and we usually do alarm verifications and work near really loud equipment on a day to day basis. I tried the adaptive transparency mode today because we were working near a loud water pump and holy that thing really works well! I can see myself using this feature a lot for my work specially as I work around other team mates and want to be able to hear them but still cut out the loud horn or bell noise whenever we have to ring them which are sometimes over 85 decibels and can be painful to hear when its too loud. Killer feature!
2023-03-28,You just explained the adaptive transparency mode 10x better than Apple did on stage! Great video!
2023-03-28,"These AirPods Pro have been a game changer for me, I am on a high school drumline and had the 1st generation Pro's that I used for noise canceling. This caused me to always have to have noise cancelation on and constantly have to take them in and out to hear my instructors comments. With the new AirPods I am able to keep transparency mode on. This means, when we're drumming and the loud noises are happening, the sound is reduced, however, the moment the drumming stops and our instructor starts talking, immediately I can hear him and everyone around me clearly. A game changer for drummers."
2025-02-25,Marques is the best video on the AirPods Pro 2 so far this convinced me to buy them! Anyone know a good quality leather case that will last a long time?
2023-03-28,"0:00 Intro
0:41 Small New Features
1:36 Battery Life
1:53 Ear Tips
 Case Features
 Volume Control
 H2 Chip - The Thing That Convinced Marques 
 Ranking Against Others
 Sound Quality
 Transparency Mode
 Talks To Noise App
 Mismatched AirPods
 Ear Scan For spatial Audio
 Overall Evaluation"
2023-03-28,Modern tech will never fail to amaze me. How they do all that in such a little device blows my little normal mind.
2023-03-28,the technology behind the ability for them to reduce noise is underrated asf. The signal processing there is on point.
2024-03-27,"One thing worth adding is that the AirPods Pro 2 integrate well with Android phones. As a Galaxy S23 user who previously was using Galaxy Buds2, AirPods work the same as in an iPhone for the features I use. Probably the only nice to have feature when connected to Android would be pausing the audio when removing one of the AirPods to speak to people but even that can be obsolete since you can just pause and enable transparency mode (which is out of this world). Would like to see Galaxy Buds improve to get on the AirPods level though."
2023-03-28,"I have to admit, I do dig this guy. Not for the Air Pod thing but the quality of his videos. He is really good at what he does. Nicely done."
2023-03-28,"Oh yes, that Watch the Throne test"
2023-03-28,"Just got mine and wore them at my local gym. at first I was thinking the ANC was about the same as my last pair of pro's, but then I took one out to chat with a friend and noticed how LOUD the gym was that day. Seriously impressed by these and I actually love that they were able to do it without changing the design which would have made them stand out more as a ""status symbol."" Thanks for the great review!"
2024-12-27,"Getting mine in the next 24 hours. Already bought them, your reviews are just that good… I’m still convinced they’re a good investment."
2023-03-28,"I tested the transparency in a loud environment and I was amazed. My girlfriend and friends like to go to loud bars and concerts, but because of my Autism I can’t handle the loud sounds like that but I always want to join. I occasionally went out with them using the last gen AirPods Pro and used noise canceling to help. But using the transparency mode on these second gens I can actually listen to the music and not get overstimulated due to the loud sounds. Worth the purchase"
