date,text
2023-03-28,"Another nice little extra that not too many people seem to mention is that if you get them engraved, your engraving shows up on the phone when pairing."
2023-03-28,Thanks️ I want to know new AirPods Pro 2 delay while making music by logic pro or play some rhythm game
2023-03-28,She can sell you the Apple product better than Apple themselves
2023-03-28,"Getting delivered tomorrow. I’m very excited because of YOU! 76 years old, and love tech!"
2023-03-28,"Just got mine, the anc and sound quality update are pretty noticeable than the first gen. And the volume touch control is so convenient."
2023-03-28,Apple actually needs to pay iJustine for all of these reviews for real for real because she sells the product and is the epitome of an Apple personality. I can see her apart of the event one day. Love it.
2023-03-28,"I just received mine too and they are really worth the upgrade from the old Pro! Sound quality has noticeably been improved and now they don’t “scream” anymore, if you lay with them against a pillow, like the old ones did, that’s actually huge! - I can really tell that transparency mode (my preferred mode) has been improved too - and if you get them engraved directly from Apple, the engraving even show up in the 3D animation which shows every time you connect them to your iPhone  All in all, classic Apple magic!"
2023-03-28,Thanks
2023-03-28,"Got mine Friday, had the previous pro’s since they first came out. 100% worth the upgrade, the ANC does feel 2x better and the XS ear tips, as well as the volume control (and battery life) is so convenient."
2023-03-28,"Mine just arrived and i'm blown away with the ANC and Spatial Audio (never tried those before), also the speed of connection between devices is super fast!"
2023-03-28,"I just ordered mine today. I got the original AirPods Pro back in 2019 and had to replace them a couple of times due to the cracking/static sounds in the ears. I am having the same issue again, so even though these are great I would HIGHLY recommend AppleCare+ for these. You will likely need replacements at some point!"
2023-03-28,I’m good on AirPods for now. I have the first gen pro’s and the Max’s but I’m glad everyone who couldn’t use the older one can use them now! They’re so great!
2024-03-27,I just joined the Apple ecosystem coming from  Samsung for 8 years. At first Samsung was great but as the years went by the performance just seem to not get any better or maybe even worse. Now I may be new to Apple but all their products just seem to work in tandem so well. I am very eager to see how they perform 1 year from now. Very excited for my journey with Apple and iPhone 14 pro max over then new few years.
2023-03-28,"Personalize spatial audio is also available for airpod pro 1 its available on ios 16 I’m currently using it and the sound of my airpod pro sound so dolby after i personalize my spatial audio, it’s an interesting thing honestly, even when I’m listening to a stereo music it sounds dolby with the personalized spatial audio."
2023-03-28,Thanks for such great content!
2023-03-28,"Just received my Airpods Pro 2 (Australia), they are absolutely awesome. My previous airpods were the old gen 2 and it is night and day. Sound better than my Bose NC700, but not close to the Focal Clears:) In summary for a portable wireless headphone, it should do the job nicely for anyone in the Apple ecosystem and satisfy to the most extent even hifi junkies with Iphpnes on the go. Enjoy! Oh, stayed tuned for a near lossless new audio codec from Apple in the coming months, but you'll need the iPhone 14 or Watch Ultra with bluetooth 5.3 to take advantage, Iphones 13 and prior top out at bluetooth 5.0"
2023-03-28,Can we take a moment to appreciate the work with that Justine does even on collabs with rosansa
2023-03-28,Mine’s coming tmr!!
2023-03-28,"I have the same problem as you, Justine! The regular airpods fit my ears so well but with the Pros no matter what tip size I would use they would just always fall out as soon as I’m smiling or moving around a bit. So I ordered the AirPods Pro 2 and I really hope the extra small tips fit in my ears!!

Update: the extra small tips fit my ear, perhaps I even need the small tip in one ear and extra small on the other - still need to figure that out properly haha. But they sound EXTRAORDINARY compared to the regular airpods and the bass woah!! I’m so happy 🥹"
2023-03-28,"I didn't buy the original AirPods Pro when they came out, because I tried the ones my friend had and they also didn't stay in my ear. Somehow I didn't manage to check other ear-tips. Eventually I got them in July and enjoying with the ear-tips size S, and now I regret everything, because I bet XS would feel much better! Looking forward to purchase the ear-tips themselves lol"
2023-03-28,"I've been using foam eartips, they make a massive difference, but they are a pain when cold, once warmed up they are great thou"
2023-03-28,Mine is out for delivery today... can't wait to use them. I am very happy about the volume controls.
2023-03-28,"XS ear tips was literally the biggest selling point for me.
Thank you for giving particular focus to that!"
2024-03-27,"i got mine recently with the usb-c, the ANC and Transparency mode are life changing now i pretty much wear them all the time"
2023-03-28,I’m hoping they have some kind of sale by Black Friday. I feel so naked without my AirPods lol. My first pros started giving me issues so I traded them in and now I’m just waiting for some sort of discount.
2023-03-28,"I have a pair arriving this afternoon. Not that I was dissatisfied with my current AirPods Pro, but all the hyper-positive reviews I’ve seen persuaded me."
2023-03-28,Everything is life changing you said that too about the first air pod pro I didn’t buy them until they went down to $99 on Black Friday
2023-03-28,I wish they could do something for the wax build-up. Maybe my ears are just waxy but its increased with pros vs the regular airpods.
2023-03-28,i wish they had a feature to join a party and listen with 2-4 people for like album listening parties or something i know bluetooth's new version will have this but it was just announced this year... would be game changing
2023-03-28,I didn’t even know they were making new ones! They’re expensive but there are so many new features that I love!
2023-03-28,"I really like Justine’s fun and very natural presentation style she has. It shows off her personality and it’s like a friend telling you how to understand or learn something she knows and not lecturing you to know it. I can see why Justine has over 1 million followers - oh, she’s beautiful too"
2023-03-28,I think we have similar ears cause I had the same exact issues  But The Xs tips and being able to lower/raise volume from the stem did it for me . Definitely worth the upgrade . Great video!
2023-03-28,"i got these Friday and the sound is just incredible way better than the first gen, got to take my hat off to Apple very impressed"
