date,text
2025-02-25,"It’s like this phone isn’t even designed to be sold as an actual product, just designed to make the more expensive iPhones look like better deals"
2025-02-25,The intro summarised everything perfectly.
2025-02-25,"That intro / outro was spot-on. ""Who ARE you?"""
2025-03-06,Im still on an iPhone 11 Pro Max. It refuses to die on me and still fulfils most of my use cases. Best iPhone I have ever owned.
2025-02-25,All they had to do was not remove magsafe and price it at $499.
2025-02-25,I hate higher refresh rate is wild
2025-02-25,MoustacheKBHD needs to make more appearances
2025-03-06,"It's old school concession marketing. Go to the movies, small popcorn for $3 or large popcorn $4. You buy the large because you're already spending $3 so why not spend a dollar more. It works in a movie theater cause you don't have any other choices, and it works for Apple consumers, because if you want it to be an Apple product, then you don't have any other choices either."
2025-02-25,"""Nobody ever asks for that."" After Apple Intelligence couldnt be more real."
2025-03-06,iPhone 16e is like the small popcorns and small icees at movie theaters that try to make the medium and large options look like better deals
2025-03-06,this 16e at $599 is just a setup for future price rising of a base iPhone model to $899
2025-03-06,DBrand ad was so smooth I almost didn't notice it. More creators need to be doing this... Good on you bruh
2025-02-25,The intro was absolute cinema
2025-02-25,"1 camera, no MagSafe and $599 for a budget iPhone in 2025 is crazy"
2025-02-25,iPhone 16 e waste edition?
12  ago,I wish they would have just released an iPhone 16 Mini instead. I don't get why Apple doesn't believe there's a market for smaller phones.
2025-02-25,That intro skit is the LIFE of a sales rep in the phone industry. You captured our struggles perfectly
2025-03-06,"I remember when this was for the top of the line flagship phone price.  

Looks like my upgrade cycles will continue to be ever 5-7 years."
2025-03-06,The trajectory of iPhones lately has me wanting to just keep my 13 Pro until it literally dies.
2025-03-13,EPIC INTRO LMAO THE HEAD NOD
2025-02-25,That intro was TOP TIER. I love the skit.
2025-03-06,The default phone with every new business contract. THAT is what this iPhone is for.
2025-03-06,My guess is that in apple’s mind the “e” stands for essentials - the only problem that the essentials are a 600$ price tag
2025-03-13,"The people who buy this phone aren’t interested in MagSafe, Dynamic Island and fancy cameras. They just want a stripped down iPhone with long battery life. That’s exactly what the iPhone 16e is. It certainly doesn’t suffer an identity crisis. In fact, this  Zen-like, gimmick free iPhone is probably the one that Steve Jobs would use if he was still with us."
2025-02-25,It's very easy to Apple make the 16e more affordable. Just need to raise the prices for the next generations of the regular ones.
2025-02-25,"Remember when you bought a new thing, and it was better than the old thing? Wild times"
2025-02-25,"I lowkey agree with Marques on how this phone is just a sneaky way to increase sales for the regular iPhone 16. Cause there are features here that the iPhone 15 doesn't have (ai, action button) but missing things that the iPhone 15 does have (MagSafe, ultra wide band, dynamic island and double cameras). So for most reasonable buyers who want the best of both worlds, the iPhone 16 is just there to balance all those desires. truly a strange product"
6  ago,The nods at 1:25
2025-02-25,We got MKBHD doing theatre before GTA6!
2025-02-25,That intro was incredible.
2025-02-25,"this is by FAR the best depiction of this phone. i was tired of hearing mixed views on this phone, when there's objectively only one answer."
2025-03-06,"I remember when this was the price of the top-tier flagship phone.  

It appears that my upgrade cycles will continue to occur every 5-7 years."
2025-02-25,Marques with a thick stache make him look like he’s Steve Harvey’s son
2025-03-06,"Just traded in my teenage son's iPhone SE 3rd gen for $150 trade in credit. Initially, I thought I would get him a new ""SE,"" but it wasn't released in time for his birthday earlier this month. I ended up getting him an Iphone14 for less than the 16E, and he is happy with it."
2025-02-25,Ok i liked the video just after seeing those mustache     0:10
2025-03-06,01:29 that Head Movement
2025-03-06,"I still firmly believe they should've put it in the body of the 13 Mini to bring back the small iPhone, during my time working for T-Mobile the amount of people who wanted a new Mini was astonishing"
2025-02-25,Rare sighting of MKBHD's lesser known cousin MKB4K in the intro
2025-03-06,By far the best intro you’ve done. Really emphasized the fact this phone is something no one asked for
2  ago,That mustache tho
2025-02-25,THIS INTRO WAS SO FIRE
2025-02-25,That intro sketch was amazing lol
2025-02-25,The intro is absolutely dope
2025-03-13,7:21  he remembers those comments from throwing the phone..   7:18
2025-02-25,That intro was cold
2025-03-06,"iPhone XR, Recycled and Updated. ️️"
2025-03-06,Just one word for the introduction. ART.
2  ago,I like how your ad was integrated the video so smoothly
2025-02-25,"The saddest thing about this phone is not the single camera, nor the 60HZ, nor even the missing Magsafe.

It's that people exist that'd actually buy it."
2025-02-25,"Should've named it SE 4, Price should've been $499, should've had magsafe, and they should've made it smaller to stay true to the real SE for people that like smaller phones and I bet u this would've made a big seller"
2025-02-25,That intro was absolut cinema.
2025-03-06,1:28 i also hate high refresh rate got me dying
2025-02-25,"Brilliant intro, makes the point so well"
2025-02-25,The intro is crazy
2025-02-25,"Intro was  Decent acting, Marques!"
11  ago,"The Best Hook I've seen on any channel in a long time ""robin hood"" LoL"
2025-02-25,That intro skit deserves an oscar.
2025-02-25,MKBHD = Mustache KBHD
2025-02-25,This is gold Marques! The intro is perfect
2025-03-06,The way bro threw it away without flinching  7:18
2025-03-06,"If anyone has seen the iPhone design team since 2017 can you let me know. They came to work for a day around 3-4 years ago and added a flat edge, it was a really revolutionary day and they haven’t been seen since"
2025-02-25,Laughing my ass off at the confident head nodding 1:30
2025-02-25,The intro- one of the best i've seen lately.
2025-03-06,whoever that mustached guy was…he understands ME!
2025-02-25,1 camera in 2025 is wild
2025-02-25,More of this style please! That intro was awesome
2025-02-25,"The best intro in an MKBHD video ever! The rest of the video is great too, very well thought out and planned video. The phone that doesn't make sense."
2025-03-06,7:20 he was holding that laugh so hard
2025-02-25,Looks like Tim Cook didn't cook with this iPhone.
2025-02-25,"Love the skit, please do more in the future!"
2025-02-25,We got thick moustache Marques before GTA VI
2025-03-13,The intro said it all
2025-02-25,Your honesty is refreshing!
2025-03-06,This intro was one of the best I have ever seen!!!
2025-02-25,Brilliant Intro and great Review!
2025-03-06,"Have you all considered enterprise customers? I am a manager at a large healthcare company, and we have purchased tens of thousands of iPhone SEs from Apple. They serve as clinical devices to communicate and page providers in the hospital and at clinics. The only requirements we have are that they get extended software updates, long periods of compatibility with the software we use, and are durable and less expensive than the main line. I suspect a lot of businesses will buy these for their workforce."
2025-03-06,The intro was a masterpiece 🫡
2025-02-25,"The 16e fits one category of buyer that isn't as needy on the camera, MagSafe or the screen refresh rate; Corporate buyers. When you are purchasing 100+ devices at a time for fleets, the saving between a 16 or 16e becomes significant. In Australia the 16e comes in cheaper than the iPhone 14 so it allows a large step up in internal performance, extended life on iOS updates and gives warm fuzzies to employees receiving the ""latest"" model. Deep down, I think Apple knows this and the ""e"" is for Enterprise."
2025-02-25,Nice of Marques's dad to help out with that skit in the beginning
4  ago,5:47 They got DOGEd
2025-02-25,Mr Brownlee acting before GTA6
2025-02-25,"I actually enjoyed the Ad experience, normally I’d skip but watching the green line progression was oddly satisfying lol. Well done."
2025-02-25,60 Hz refresh rate in 2025 is insane
2025-03-13,Intro just nailed it.
2025-02-25,Love the new approach to doing ads - very transparent
2025-02-25,The introduction was very well done.
2025-02-25,All the review was well summerised in the intro!!
2025-03-26,"With that mustache, i really expected Marques to say ""Howdy"""
2025-02-25,Man that intro skit 🫡
2025-02-25,“What? Who are you?” finished me  14:33
2025-02-25,Such a classic nostalgic MKBHD review Thank you!
2025-03-06,Best and most honest intro ever!
2025-02-25,LOVE the intro skit!
2025-02-25,That intro though with the mustache   0:53
2025-02-25,Loved the Intro
2025-02-25,Intro was really creative and awesome
2025-02-25,"One of the best videos you all have done, hats off MKBHD team"
2025-02-25,That intro skit was awesome!
2025-03-06,Just wanted to say marq thanks for ya honest reviews been rocking with ya channel for years!!!
2025-02-25,We got marques acting before gta 6
2025-02-25,The intro was sooo good!!
2025-02-25,The intro >>
2025-03-06,This is not for consumers. Its for companies to issue as work phones.
2025-02-25,"brilliant intro skit, keep them coming!"
2025-02-25,The intro sums up everything
2025-02-25,The product red was literally my favorite color of all time they neeed to bring that Jawn back
2025-03-06,"Bro, that intro......you nailed it."
2025-02-25,Apple never fails to disappoint
2025-02-25,great intro skit!!! Well done!
2025-02-25,1:46 solid intro.
11  ago,"The fact that I've gotten so much YouTube ads about this phone, I'm wondering what's the special? Now I'm watching this guy after watched JerryRig's vid"
2025-02-25,That intro… well done.  Nailed this so well.
2025-02-25,"AT&T has a good deal on the 16e right now where with no trade-in, you get the phone for like $6/month for 36 months. That’s just over $200, which is significantly better than $600. Not sponsored, just saw the deal and went for it for my mom. She has an iPhone 11 so that was a no-brainer deal and she just pre-ordered the 16e to upgrade to. It’s good enough for what she uses and is a big upgrade over her current 11. It’s certain situations like that which make sense for the 16e."
2025-02-25,appreciate the obvious indicator for the ad - feels more honest than the typical youtube ad
2025-03-06,the aggressive head nods
2025-03-06,I love Marques starting with a skit he should do that more.
2025-03-06,"1. The iPhone 16e should be priced between $399 and $449, with a maximum of $499.
 2. They should not have removed the UW chip and MagSafe, as it impacts the Apple ecosystem.
 3. The camera should be the same as the base iPhone 16, ideally with a 1X cinematic mode if possible."
2025-02-25,"i like the 'ad' setup, letting people know that the ad started."
2025-03-13,"I am glad I found this video, I almost change my 14 for this phone. I didn’t notice about the camera thank you."
2025-02-25,(Not Boring) Weather is the app at 11:14 for everyone wondering.
2025-02-25,This intro is so good
2025-02-25,"I loved when he said: ""I hate faster refresh rate"""
2025-03-06,Your energy makes this so fun!
2025-03-06,"The intro was so good, I want to see more of those if possible"
2025-02-25,Well done on the seamless ad integration 6:56
2025-02-25,They should have used the 13 mini body
2025-03-06,"This was more fun to watch
We need more reviews like this one please"
2025-02-25,Intro skit was so good! Nice acting Marques!!
2025-03-06,"You should definitely do more skits, you’re actually really funny"
