date,text
2025-03-06,"When creators say ""This is really interesting"" I promise you. That means ""I dont like this"" but in a nice way"
2025-02-25,If they dropped it down to $499 they might have a chance.
2025-02-25,"this is not a review, this is an ad."
2025-02-25,Tim Cook should employ iJustine.
2025-02-25,"Have all the negative points been forgotten? The price and the display, which is no longer up-to-date with a low brightness and refresh rate for the year 2025. And that Magsafe is missing?"
2025-02-25,"i was planning for iphone 16e i end up getting iphone 15 thanks to the apple sales guy he was like sir, buy iphone 15"
2025-03-06,"seriously ijustine , be honest . do a review . not an advertisement"
2025-02-25,Almost every review complaint about the price but you didn't. Sadly this is just a ad not review.
2025-02-25,"I agree with some other that this was not a review at all. The camera test... that was okay but not okay as a review for the phone.

What we all probably wanna see in a review is...

1 - benchmarks for Wifi, 4G and 5G speeds: 16e vs any other 16. Since this got Apple C1 chip and other iPhone 16 models got Qualcomm.

2 - how's the audio quality for phone calls? Maybe too difficult to measure talk time Wifi/4G.

3 - find an AirTag with 16e vs 16 since 16e don't have UWB. How bad is it to miss out precision find?

4 - how's the low-light (night) photo for 16e compared to SE3 or SE2 and compared to 16?

5 - do some macro photos with some 16 model that got the macro sensor/lens and try to do the same with 16e. How good or bad is 16e at macro photos?

That's five things to test that I believe most of us would love to see in an actual review :)"
2025-02-25,The reason I don’t sub to this channel is because it sounds more like a commercial then a review
2025-02-25,Great Apple Ad Justine!!
2025-03-06,"If there's one tech creator without an ounce of integrity, it's her !"
2025-02-25,"This is not a review, this is an ad"
2025-03-06,"As a general user of iPhone, I really love iPhone 16e.  It is a premium version of the budget iPhone SE with an upgraded body and specs. The 16e is also an upgraded version of XR!  Hope they will a 64GB choice.  I use only half of the 64GB storage of my current iPhone 12.  With that 64GB storage,  the 16e price might lower to 499$ perhaps."
2025-02-25,"3:22 Those photographic styles are not new, they are the same since iPhone 13"
2025-02-25,"2:41 - This bunker and radio tower were from Jurassic Park Fallen Kingdom 2018.
The bunker was the escape route when the volcano was erupting."
2025-03-06,"This is not a review, it is an ad"
2025-02-25,"I don't need to see the video,, she already love this phone"
2025-02-25,Justine is so pretty!
2025-02-25,she was laughing running away from the megasorass
2025-03-06,"Take it from an iphone SE 3rd generation owner, this is not a true value phone for what you are getting at $599.  If the same phone was available at a starting price at $499, then this could have been an outstanding value."
2025-03-06,wtf does she mean by under 600$ ??
2025-02-25,5:02 Omg that old YouTube app icon brings back memories. Just realised how much I missed this layout.
2025-02-25,Absolutely fine iPhone. But for elderly people an cheaper updated SE with fingerprint would be more welcome. The price-step from 16e to 15 or 16 (When Apple AI is needed) is not that big.
2025-03-06,"This is not an objective video, this is just advertising for an Apple product, which was also made available to the manufacturer free of charge. Credibility is zero."
2025-03-06,It's not a review without negative points being addressed.
2025-03-06,JURASSIC VALLEY!!!!!!!!!!!!!!!!!!
2025-03-06,I freakin love Kualoa Ranch.
2025-02-25,"Conclusion: Don't buy the iPhone 16e because at that price it still doesn't have an Ultrawide camera. Sooner or later the Ultrawide camera will be useful for your life.
Just choose the iPhone 15. Buy it when the iPhone 17 is released."
2025-02-25,Worlds shortest review by ijustine ️
2025-02-25,Would the 16 plus be a better option than the 16e? I’m coming from a 12 pro max.
