date,text
2024-03-27,"Crazy how mkbhd doesn’t need a good studio setup to make a great video. Just takes up his Canon R5, starts shooting and speaking like a pro. Love it."
2024-03-27,Congrats on being added to the roster. Best of luck to you and your team.
2024-03-27,I think the reason behind the constant comparison of M1 and M3 is that the M1 computers are still so good that people may not otherwise upgrade.
2024-03-27,"As usual great video, great insights"
2024-03-27,"My jaw dropped when I saw that text at the end. That to me was the most impressive outcome from tonight's keynote. I, like you, want to see the BTS of the making of this keynote. I hope they have that planned because it will sell a lot more phones.

I'm also glad there's no need for me to upgrade my 14"" M2 Pro MacBook. Although they need to keep that space black color around for when I do in a few years."
2024-03-27,"Hardware support for Mesh Shading is a huge deal. It's been on nvidia and AMD's card for ~3 generations now, but finally having it means a lot for 3d graphics, enabling previously impossible polygon counts."
2024-03-27,He knew we were just here to see his reaction to the space black MacBook and he kept us on the edge of our seats lmao
2024-03-27,"Always amazed at how you do the most organised, concise memory dump of your thoughts and all makes sense, no omissions, no double mentions, just perfect, many thanks for your way of creating videos!"
2024-03-27,Would be interesting to see an M1 Max compared to a standard M3
2024-03-27,"When they decided on matte black for the M3 line, they definitely had you in mind! I can't count how many time you've asked for matte black"
2024-03-27,"If MKBHD is not pushing his M1 Max Macbook Pro, there is no way I'm pushing my M2 Mac Mini. I'm very interested to see the lineup of games coming along the new GPU techs."
2024-03-27,"I’m an astrophotographer working on a 15” 2015 MacBook Pro rn and I’m thinking about upgrading to an m3 MacBook Pro. I honestly can’t wait to make the jump. Also, marques that video quality is so good and we NEED those ultimate frisbee highlights! Keep up the incredible work!"
2024-03-27,"Good luck in the match! I'm one of the M1 Max MBP users and while I'm probably in their use case as I do a lot of ML and Software Dev - I think I'm going to wait. The Space Black is an intriguing color, but between fingerprints and the inevitable scratches - I don't know if I can do that color. In your review (or when you talk to Apple), ask them about scratch resistance. A silver MBP hides all the small nicks and scratches very well."
2024-03-27,I just started filming things on my 15 Pro and I must say the new pro res log format is a game changer. It doesn't surprise me the even was shot on an iPhone because the new iPhone video processing is amazing.
2024-03-27,A YouTuber at his level editing his own video on a laptop in a hotel... This is what makes Marques a superstar. What a work ethic
2024-03-27,"I gotta say, starlight has been a great colour for me. It's subtle but also really nice to not have just grey, plus not too fingerprinty"
2024-03-27,Congrats on your team USA Roster addition. You're the man. Incredibly inspiring to see your journey.
2024-03-27,The end message was the most surprising thing of the whole event for me. I was actually thinking during the event why they don't record it on the iPhone since they praise their video quality so much... I didn't see this coming.
2024-03-27,M1 is sooooo good I don’t see myself upgrading for another 3-4 years. It has aged so well and it would take more than just a color to upgrade.
2024-03-27,I think the M3 chip is designed to attract customers that a) haven't made the jump from intel processors yet or b) purchased an early model M1 chip product. Its kind of like when some people (like myself) who don't like to purchase a new phone year on year but rather skip a year so that I can really notice the boost in performance and efficiency
2024-03-27,Marques always being insanely fast on these Apple updates and insights.
2024-03-27,Really interesting that this is finally hitting the mainstream because when it comes to Macs (and phones) but I've been noticing more and more people who just don't bother to upgrade anymore. OR if we need a computer we just walk in and buy the cheapest thing Apple has and it's more than powerful enough for 99% of tasks.
2024-03-27,3D content creators might benefit the most. I'm eager to see performance tests with Blender and Cinema 4D. I'm curious how the new Macs stack up against Windows laptops in this area.
2024-03-27,"I like this format. No graphics. Not that the MKBHD can't make, but they obviously chose to keep it simple. Casual and interesting"
2024-03-27,So happy that all your hard work is being honored with being part of the tournament. People probably underestimate the hard work and commitment to get there.
2024-03-27,"It's inspiring to see that even after all of these years, with a full-blown staff and studio behind you, you can still just grab a phone camera and pull off a straightforward, no bells-and-whistles, video just like that. Thanks Marques for providing quality content no matter what method you choose!"
2024-03-27,Congratulations on making the team.  Thank you for sharing with us your thoughts on the recent Mac Event even though you are preparing for the Ultimate Freebie Beach World Championships.  Greatly appreciate it and you.  Take care and have fun.
2024-03-27,"Huge congratulations on competing at WBUC. Have fun!  I’m sure USA will do well (but, go GB!).  And thanks for the timely reminder that I need to check for livestreams.

My many months decision making process is heading towards a Mac mini, to replace my non-windows 11 compatible computer.  So some more delaying while I decide to find a deal on M1/M2 or wait for M3 Mac Mini."
2024-03-27,"Hardware ray tracing is probably the most significant upgrade from the M2, and was the biggest feature that the Apple Silicon GPUs have been missing since their launch. Nvidia is now on their fourth generation of GPUs with hardware accelerated ray tracing."
2024-03-27,"I too was blown away when I saw ""Shot on iPhone"" at the end of the Keynote. I have the 14PM and I couldn't be happier with it, but the 15PM sure does feel like an upgrade I would appreciate."
