date,text
2024-03-27,A few months back I finally switched to a MacBook after years of using PC. I purchased a MacBook with M2 chip. I’m so glad I made the change. My video editing has been an absolute pleasure now. I can’t believe how long I invested in PC and still had issues. My MacBook Pro has the M2 chip and it’s so fast. I could only imagine how powerful the M3 chip is. I wouldn’t be upgrading because my MacBook Pro is getting the job done but wanted to share my experience.
2024-03-27,“That’s about a bread stick sized size difference.”  Love it.
2024-03-27,I love your unboxing videos bc you more than anyone else out there shows just how much it’s like adult Christmas every time you open a new apple product I am rocking the M1 rose gold MacBook Air.They need to bring pink to the new Mac book lineup!
2024-03-27,"I have been looking into selling my iPad to get a refurbished MacBook so i searched for MacBook and iMac reviews on YT and Ijustine popped up and I havent stopped watching. I can’t afford a MacBook nor a IMac now, but manifesting very soon. . Purple M3 24” IMac and 14” space grey MacBook. Amen"
2024-03-27,"Everyone: Deep dive into the specs, performance, productivity, benchmarks, cost/benefit etc
iJustine: Uhhh Look at the new beautiful colors and shapes, totally worth the money!"
2024-09-28,5:02 the crazy part is there is literally the equivalent to the price of a cars down payment casually sitting on the table right now
2024-03-27,That was fun to watch. I always prefer lighter colors like classic silver. Starlight looks beautiful as well. Spacegrey is good. Black would be too dark for me. And hey.. did you see how good she handles the knife?
2024-03-27,the thumbnail called me poor and unprivileged in negative zero seconds lmao
2024-03-27,You're such a great role model. I can't appreciate you enough! Always excited to see you share your enthusiasm.
2024-03-27,I've always had silver MBPs but I gotta admit that the Space Black one is stunning
2024-03-27,THE NEW COLORS LOOK GOOD!
2024-03-27,4:26 this one’s so old it has a light up logo….me sliding my MacBook Pro 15 under my desk
2024-03-27,All hail the queen of apple
2024-03-27,Thank you for always uploading quality content. Love you Justine.
2024-03-27,Sorry about your loss Mrs.iJustine.What a beautiful video Mrs.iJustine.Have a good one.
2024-03-27,I just got my brand new M3 MacBook Pro today and I LOVE it! I had a 2020 Intel MacBook Pro and it is night and day between the two!
2024-03-27,If you’re planning to switch from pc to . Trust me its 110% worth the money and best decision. I bought the pro m3 and no lie im enjoying it. Everything loads fast and quick. Long term laptop
2024-03-27,I absolutely love the Space Gray color on my MBP. Can't wait to see what the Space Black looks like in person.  The bigger question for Apple is... Where are the USB-C Magic Keyboard and Magic Mouse? I want to get rid of Lightning on everything.
2024-03-27,"3:49 Americans will use
anything but the metric system!"
2024-03-27,i wanna buy this for myself for christmas since i have an intel chip but i dont think my parents will let me  it looks so cool though!
2024-03-27,They're such a good model. Machines so sweet I can't wait for this space black so excited recording
2024-03-27,"I am just wondering what you do with all the “old” Mac’s? Are they going to family, friends, donate or storage? Love to see if you can give us an update about that? And it is funny that you didn’t bought the MacBook Air in Midnight blue?"
2024-03-27,It's pretty sad when the most exciting thing about a new generation is the color lol.
2024-03-27,her comparing the size difference to an olive garden breadstick was SOOO american lmao i love her
