date,text
2024-03-30,"10:48 There are actually 3 microphones, one on the front for noise cancelling and 2 hidden in the gap on the faceplate for picking up your voice. This gap is also an air-intake so when the fan spools up mic quality drops substantially."
2024-03-30,"I do respect he spent this much money on the R&D for the Headset.

Most other companies would have just sold it as is. And update it based on user feedback over the course of a decade or two."
2024-03-30,"I got the Quest 3 recently, after having 5 years on the CV1. I had my doubts but I was absolutely sold the moment it booted up and I was shown my room. Part of why I still didnt use VR a lot was because the lack of vision to the real world, essentially its like having a big blindfold on at all times in VR. This changes everything."
2024-03-30,Bros complaining about prices while he’s tryna sell a jacket for $250
2024-03-30,bro stop uploading videos 11 seconds ago
2024-03-30,"Having used a quest 2 for 2 years or so, the switch to quest 3 was amazing. No more shuffling around to prevent flattening my cat who really loves sleeping under my feet when I'm in VR, no more worrying about getting the IPD perfect and having to adjust over and over to find the sweet spot.

Absolutely superior looking visuals in every way."
2024-03-30,"Having gone real hard into VR when Windows Mixed Reality launched and not upgrading since, the Quest 3 has been absolutely revolutionary. WMR was such a hassle to boot up, set up, and use. For anyone who jumped on the WMR train or an equal lower cost/budget headset when VR started to take root and has stepped away since, I think the Quest 3 is something that will bring you back and impress you."
2024-03-30,"I recognised Adam's voice before I did his face without the beard!

And I agree with him. A virtual workspace with passthrough seems amazing. Especially if one could move and resize screens on the fly."
2024-03-30,One step closer to sword art online
2024-03-30,"I love when linus talks about VR so that more people get into the cool industry and it gets a lot more developed. Love you, Linus!"
2024-03-30,"After having PSVR and then PSVR 2 for few months (sold it because Sony definitely forgot about it) I'm blown away by the Quest 3. As a PCVR gamer I wanted this basically for well, gaming on PC. The wireless connection through Virtual Desktop is flawless. I didn't know that in 2023 we can already have so good graphics and latency over wifi. The other thing is the headset itself. Great software and hardware. I have many games that I intended to play on PCVR but just bought them on Meta store - the graphics is so good. Love it."
2024-10-31,13:19 famous last words before the 3500 dollar apple vision pro
2024-03-30,"it's incredible how far VR has come, and it's nice to see how Mixed Reality is the wild west like VR was in 2016, it makes it even more exciting"
2024-03-30,"It'll be interesting to see how the Quest 3 develops over time. When I got my Quest 2, it was a 72hz only device and hand tracking wasn't even a feature. Since then, the software has changed a tonne, they've introduced hand tracking and various improvements for it, 90hz is now standard and 120hz is now an option for some titles. It's an absolutely insane leap from where it started on release"
2024-03-30,"Having an Index, a Reverb G2 with it's own extra set of lighthouses and knuckles, and now the Quest 3, I can rather confidently give the nod to the Quest 3 so far. The ability  to use the Quest 3 standalone, and even more importantly wireless to my PC has made it firmly into my daily driver. Just losing the need to have my position constantly in the back of my mind to track the wire even with a full pulley system, and the associated light tugs on my head as I moved, has been such a massive increase in immersion that exceeded expectations massively. Passthrough is also far more convenient and useful than I even expected. More time will tell, but I am fully endorsing Quest 3 at this time."
2024-03-30,"As someone who's been on the Quest bandwagon since the launch of the first quest, I have seen almost every feature that gets pushed evolve and get better.

For example hand tracking is massively better on the Quest 2 now than when the idea was first pushed on the Quest 2. It feels way more natural and functional, albeit not in all applications yet, its really neat. 

Same with the pass through tech, its gotten so much better and the beta feature on the Quest 2 to let you see objects in the area to include people and your pets even when in game is really nice, highlights a wireframe of them in view.

So the issues with panels not following you will surely be fixed over the life of the Quest 3, especially with people commenting on it publicly. I can't wait to get my hands on the Quest 3, hopefully the heat issue doesn't bother me too much."
2024-03-30,"I just bought the Meta Quest 3 a few days ago for Black Friday (no is wasn't on sale).  I saw the MQ2 was on sale and didn't know they released a MQ3 so I bit the bullet and used a $100 Best Buy gift card I had.  

It's embarrassing to say that I'm a big gamer and work in tech but I've never put on a VR headset.  When I first put on the MQ3 I was blown away, and was even more blown away by the games I played.  Even with not experiencing old/other VR headsets, the fact that I had such an amazing experience should speak volumes."
2024-03-30,Already spent more time on my Q3 than the total of my Q1. Awesome device! Really shows how the future for VR/AR is shaping up.
