date,text
2024-03-29,Woah. This right here may be a very big moment in our timeline
2024-03-29,"The FaceTime call was impressive. You can tell that it's not 1 to 1 with a real video feed of yourself, but it's damn impressive how close it gets. I was expecting cartoon like emoji like but wow!"
2024-03-29,"11:06 MKBHD does the double thumb up emoji in facetime is the best part of this demo, love it"
2024-03-29,"25 Years From Now This Will Be A Very Specific, Nostalgic And Interesting Video In Our Timeline."
2024-03-29,Everytime Justine unboxes a new apple product she becomes a 10 year old all over again
2024-03-29,I honestly don't know how you are so energetic in all of these unboxing videos. It really is a skill. Still going strong after all of these years!
2024-03-29,Absolutely insane. Would be cool to see how you integrate the Vision Pro into your workflow like with editing and content creation
9  ago,The Vision Pro is a masterpiece of technology that doesn’t necessarily benefit users as much as computers in a computer world. It’s great technology that really hits the mark
2024-03-29,"I still don't personally want or need one, but seeing your childlike joy brought me a lot of joy. So thank you for that."
2024-03-29,"Apple couldn't ask for a more enthusiastic commercial spokesperson for everything they make. Getting that excited over a polishing cloth really is a special skill. Her ability to fawn (especially over unboxing), along with the quality of her videos is a gift."
2024-03-29,"I've watched Marques's and The Verge's video about it before this one. Your video is the only one that shows off a lot about this headset, compared to others. The childlike wonder I experience just watching this. Thank you for your positive energy, Justine!"
2024-03-29,"MKBHD: Calling it VR, calling the headset heavy, calling the battery heavy, ""wall brick not super fast"", calling it expensive, ""that might get a little uncomfortable""; ""do I look ridiculous?""
iJustine: ""It truly feels like you are witnessing a miracle"" 1:23"
2024-03-29,Can't wait for them to sell all the in box free stuff separately in the next version
2024-03-29,God bless her. She is doing her best to convey the excitement.  This might be the hardest product to actually review.
2024-03-29,"Best moment… “when I’m having a bad day, I’ll just come over here to the Steve Jobs theater, and… give presentations”. Most relatable comment ever"
2024-03-29,I don't know if I'm so surprised because this Vision Pro works so freaking well or because Justine goes absolutely crazy with this
2024-03-29,Wow. So glad she actually showed us her using the Vision Pro
2024-03-29,"Looks inredible, hopefully they add more productivity features and a cheaper version so more people can use it for work!"
2024-03-29,Ijustine just called me poor in all languages!
2024-03-29,"No one can match your energy, Justine."
2024-03-29,"is this a apple-commercial?  not one single critical word (others had to say about that headset)
this here should be a review? its a apple-Commercial"
2024-03-29,Can’t wait for 3D animation softwares working with Apple Vision Pro… that will be awesome!
2024-03-29,"THIS IS INSANE , I DONT REMEMBER WHEN IS THE LAST TIME THAT A PRODUCT SURPASS EXPECTATION , PROBABLY EARLY 2000 TECH , THIS IS HUGE I CANT WAIT TO TRY IT BECAUSE ITS GONNA BE A DIFFERENT VIBE"
2024-03-29,i enjoyed this video more then marques’s video. this felt more hands on! nice video justine!
2024-03-29,The amount of creators that mentioned how the fricking polishing cloth is better than normal
2024-03-29,19:26 her reaction to her presentation actually showing up on the big screen
2024-03-29,Your enthusiasm and genuinely love for Apple products always makes me giddy with excitement!
2024-03-29,Gaming on it would be so awesome! Can’t wait to try baseball or FPS games.
2024-03-29,"Ready, Player One has come to life"
2024-05-03,"Justine, love your reviews!! The case is supposed to look like the space suits the astronauts wore when landing on the moon!!!!  Yeah I’m a bit old but I amazed no one has picked up on that!!"
2024-03-29,The DJing part had me DYING hahaha thank you so much Justine for your content <3
2024-07-02,@ijustine You have convinced me to get that amazing sorcery at it's finest
2024-03-29,What I like about iJustine is that she is not intimidating to watch. Her reactions are just so relatable and represent the average consumer. Majority of us don't care about chips and processors and whatnot but rather the whole experience and she gives us that glimpse!
2024-03-29,That facetime was uncanny valley
2024-03-29,I was wondering if iJustine opinion was of this and well here it is
2024-03-29,"Congratulations, iJustine on this video! I'm coming to your channel to watch your experience with APPLE VISION PRO, after Marques' video.
What to say, overall it's very cool experience with them and it's good that, you also showed us little demos. All in all, I understand your joy, as I am an Apple fan like you!

Greetings from Romania!"
2024-03-29,"Thanks iJ, VR being THIS advanced already in 2024 is beyond a marvel of engineering. What a time to be alive!!! Now to sell my house so I can afford one"
2024-03-29,"15 years ago we could only dream of something like this, so it's cool to see how far we've come. With that said, You can do a lot of this stuff with a pair of $500 AR Glasses or a Quest. Apple priced this device way too high. But I think their implementation seems better than other options. I'll be curious to see where this device and AR Glasses are in 4 or 5 years. We've come pretty far in just a few years since Google Tried to do this."
2024-03-29,i have to watch ijustine first before mkbhd because of how she unboxes apple products.
2024-03-29,"Watching Justine react to the miracle that technology can provide is amazing.  She has made me laugh, she has made me cry.  Genuine, and real.  100% my favorite YT creator.  We love ya."
2024-10-30,Thank you so much for showing off Keynote! Most reviewers don’t even show this. I did the demo in the Apple Store and the employee didn’t even know how to do it. I do presentations for work and this will be very useful for practicing.
2024-03-29,Can't wait to see where this product goes in the future!
2024-03-29,31:18 that mirror reflections and everything wow
2024-03-29,"This looks amazing. I can’t wait to try this out myself. 
It’s going to be amazing when this becomes more affordable for everybody. 
What a pivotal event for the future of tech"
2024-03-29,That DJ app for Vision Pro is actually cool
2024-03-29,She would buy Apple toilet paper at a premium and think it's the best experience...
2024-03-29,Mind blowing for the advancement of tech. Always expect top quality from you iJ! This was fantastic
2024-03-29,"It’s honestly crazy she’s made a decade long career shilling for apple. I don’t think I’ve ever seen anything but her apple product reviews get any attention for all this time.

I ain’t even mad about it, I just think it’s crazy you can make a career out of going “ooo apple cool” to everything they release. Tbh I feel like the idiot for making the wrong career choice."
2024-03-29,"One thng thst I don't like abut this is you have to have a iPhone or iPad to use the Apple Vision Pro. Some peole just want to stick with Android but maybe want to get this and use it standalone and you can't. I would love to have something like this wherte I could run my windows applications on this and edit using Vegas Pro, FL Studio, and other PC games like GTAV etc."
2024-03-29,I didn't think I wanted this... until I watched your video!!!!! You always make everything so relatable to my life.
2024-03-29,"This is how I think regular, non-tech-reviewer people will react when they use Vision Pro. This thing has so many features that are leaps and bounds better than Meta, HTC, or any other headset. Very exciting stuff!"
2024-03-29,The only people buying these right now are social media influencers. This is about five years away from actually being a productive device. I can see potential for construction and surgery
2024-03-29,Awesome job Justine with the tech review
2024-03-29,in a decade when they come out with the third gen vision pro i’ll FINALLY be able to afford the first gen
2024-03-29,Thank you for bringing the excitement and energy to this unboxing video!!!
2024-03-29,"Best “features” video that I’ve seen! Some reviewers are negative right off the top without even showing you the actual features of the device, and what the device does well. I appreciate you taking us inside to get a real idea of new user case scenarios. Thank you"
2024-03-29,"Love the FaceTime call feature, looks soo interesting and cool!"
2024-03-29,Almost everything she was excited about I have experience in a Quest 3 and it is so cool and so fun. Now that Apple has stepped in it's so cool seeing new people get excited about this kind of thing all over again!
2024-03-29,The future is  coming!
2024-03-29,My grand grandchild now knows that I witnessed this historical moment directly
2024-07-02,All that’s missing is the open mouth shocked face for the thumbnail.
2024-03-29,"Apart from the software limitations, the low FOV would bother me the most at this price. Perhaps interesting in version 3."
2024-03-29,"This is not a crticial review, it is just praising"
2024-03-29,"Unboxing with iJustine always brings good vibes, enhancing our excitement."
2024-03-29,Wow. That FaceTime call! Whoa! Like it captures facial expressions with the emotion they felt. Crazy!
2024-03-29,I find it funny that Justine is freaking out over features that are common or normal in other headsets.
2024-03-29,"I really hope Steve Jobs can see Ijustine from heaven now, her reactions are golden."
2024-03-29,"Why is everybody so excited?! except me, is that because I'm poor?"
2024-03-29,"Thank you iJustine for boiling this down to one video, I really enjoyed this experience!"
2024-03-29,I want one so bad haha. I feel like it would end up sitting in the box like my Meta Quest 2 though haha
2024-03-29,"this is the BEST unboxing, review and demo of vision pro! Thank you so much for going into so much detail and for being so excited too"
2024-03-29,the Facetime call is INSANE
2024-03-29,It always amazes me how Justine always gets excited about every little thing!  Girl calm down!
2024-03-29,"This is quite the advancement of tech in a slimish fashion, I love this channel for its coverage"
2024-03-29,"Every architecture studio should own this to present their vision to clients, there is no better way to see it. Weather it's inside or outside, vision pro could cover it perfectly"
2024-03-29,Best Apple Vision Pro review congrats!!!! Love your energy
2024-03-29,"I loved the concept Apple took all of you influencers and made one huge collaboration promotion video with great positive reviews. Topnotch promotional thinking, though it seems too obvious and transparent. I could suggest other strategies as well, like comparing it with other VR sets, and think out of the box of clean and straightforward reviews, that are too commercial in disguise. imho, A Challenge video will have a much larger effect on viewers, Like ""I tried living a full week with Apple Vision Pro attached to my head!"" Good luck, Apple wizards!"
2024-03-29,"I think they should stabilize the cameras more.
When you look around in real life, you don't get those small shakes"
2024-03-29,The future is arrived
2024-03-29,"Wow Justine, this technology is game changing. 
Light years ahead, congratulations apple on functionality & usability without lags"
2024-03-29,the best youtuber :D
2024-03-29,what happened with the main camera angle?
2024-03-29,She’s such a nerd  she muted hey siri
2024-03-29,You don't know how much i Love watching unboxing this premium product by you
2024-03-29,"So let me get this straight: the future is being isolated and alone inside a virtual illusion world that is over half a kilogramm front heavy, has half the colors, quarter the resolution if not less, half the angle of view and where my face looks like a uncanny valley android ? Is this THE future ? Holy crap  Imagine people fleeing from reality into this...."
2024-03-29,Soo beautiful so spatial! I can’t wait to get my Apple Vision Pro
2024-03-29,My favorite part of all these reviews is people wishing it came with stickers.
2024-03-29,Justine at mark 9:00…..” I CAN SEE! I CAN SEE! “   LOL
2024-03-29,I love this video because it focuses on showing how to experience vision pro as a normal user and not trying to highlight every flaw that already exists in it because it is so obvious there would be many flaws in a first gen product.
2024-03-29,"Just discovered your channel, and I am a fan! Best unboxing video yet!"
2024-03-29,I’m not a huge fan but I love Justine she’s is happy and fun to watch
2024-03-29,Your videos convinced me to get an iPhone years ago so thankyou so much and I still rewatch all your old unboxing videos so good
2024-03-29,"I really love how excited Justine gets about new tech, and other YouTubers in general. Makes me happy seeing people loving what they do."
2024-03-29,"This is not a review, this is straight just an Apple marketing."
2024-03-29,You're the best! You WILL be speaking in that theatre soon! I love how you were able to navigate the experience for your guest! too cool!
2024-03-29,paid for by Apple
2024-03-29,That was fantastic! Thanks Justine.
2024-03-29,“On the edge of uncanny valley” I’m sorry but it is 100% uncanny the avatars look creepy and unnatural
2024-03-29,"""spatial computing"" has been called AR and MR for years.  Augmented reality and mixed reality.  This is an over the top video from someone that has never experienced VR/AR/MR before.  Performative."
2024-03-29,"Nothing of value was shown in this video, such an amazing “tech reviewer”. And don’t forget the hoard of simps in the comments."
2024-03-29,"Yeah, I can see this becoming again the industry standard of the future of tech. Way to go, Apple"
2024-03-29,Jesus woman. Calm the hell down. It’s just a piece of plastic.
2024-03-29,Hey around 13:08 you might have accidentally forgotten to put the screen recording! but it was a good video!
2024-03-29,what is a point of this shit? 3500 for this shit? Who buy this is insane
2024-03-29,"OMG that is so freaking cool. Thank you Justine for the amazing video, I don’t think the other reviewers managed to showcase how amazing it is but just talk about the limitations. Thank you"
2024-03-29,Another bias review from iJustine yet again.
2024-03-29,How are you getting the video from inside seeing what you see? Doesn’t have screen record?
2024-03-29,This is why YouTube needs a spacial app. Live your video thank you
2024-03-29,So you pay almost $4000 to use a computer with goggles?
2024-03-29,Nobody is as credibly happy as I iJustine love it
2024-03-29,No Netflix No Youtube No spotify ..... No Thanks
2024-03-29,"Can't wait to hear the ''scratches at level 6, with deeper grooves at level 7''"
2024-03-29,
2024-03-29,look its Justine queuing over the apple vision pro as expected
2024-03-29,"Excellent video and I love that you showed the user experience. I want this headset even more now, but I can’t afford it"
2024-03-29,Thank you for always embodying the happiness I get when new Apple products come out
2024-03-29,I am swimming in the mountain! This is awesome Justine!
2024-03-29,"This is exciting, but I will wait until it’s sunglasses size and 2k less. Excited for you!"
2024-03-29,"This was an incredibly thorough video!!! And it’s soooooo cool. Thanks, Justine!!!"
2024-03-29,31:00 Imagine having to walk around your house to find virtual objects that you misplaced
2024-03-29,this is more than a hype than an actual honest review of the product.
2024-03-29,Now it's VR Justine - she will never ever put it down again.
2024-03-29,"In 2-3 years time, once they release cheaper version for general public with lighter weight and longer light battery, it will definitely change the world. Meta verse and NFT will be everything."
2024-03-29,"Apple did it again! Like Justine, you too can look like a housefly on steroids"
2024-03-29,"Very immersive and the personal assistant is getting better. Just talk to it and it is going to make your wishes come true. Instead of pointing to app and running it, just say that you want to appear in London."
2024-03-29,What you said around 11:50 kind of applies to any mixed reality rig. I had the exact same feeling with my quest 2
2024-03-29,The Apple Vision Pro is just too cool for words.
2024-03-29,"IT's INSANNEEEEEEEE OMGGGGGG
thx jusrtine for this unboxingggg"
2024-03-29,"I think we must all start to appreciate these impressive innovations coming during our lifetime… whoever thought a day will come where we will type in the air? I’m grateful to be alive today….

May we live long enough to see Apple taking off the charging brick saying we don’t need it.."
2024-03-29,"Future is blast
Thank u tech giant apple for bring the upcoming future."
2024-03-29,I love that Armando is filming roll for this video.
2024-03-29,waiting for the rest of the scuba diving gear :D
2024-03-29,Looks great! I want one but can't justify buying one right now.
2024-03-29,"The tech looks absolutely insane, but there's no way to justify owning one at this point. Can't wait to try at an Apple Store though!"
2024-03-29,Amazing video.  Great production.
2024-03-29,"Bro called me poor in 2,153 different languages"
2024-03-29,"Can you maybe try to leave a serious review once in a while, instead of having a fangirl moment for every new product that Apple launches?"
2024-03-29,"This is so smooth unboxing, mkbhd was so rough with everything"
2024-03-29,woah the facetime demo is like seeing a PS2 graphic of a AAA game back then
2024-03-29,You are adorable and your enthusiasm is affecting.    As with new toys there is always that excitement.  It would be great to see a follow up video on how you use it day to day etc.  and whether  it is useful or if you get things done better etc.   meaning how it changes /improves/negatively impact your day to day life like how an iPhone would change ours even though we are no longer gaga over a new release.
2024-03-29,The ASMR videos are going to be freaking WILD!!!
2024-03-29,"Justine you test everything so good smartphones,tvs and other  stuff"
2024-03-29,"Justine! I think it was one of the best reviews I’ve seen, but no ones explained how do you guys share screen with us. Is it video recording? Or is it possible for me to show people around me what I am seeing via airplay or something?"
2024-03-29,It will be cool to come back to this video in four years' time to see just how far the technology and use cases for Vision Pro has developed!
2024-03-29,I am probably going to wait for the 2nd or 3rd version of this thing but the fact that I can put as many digital screens in any size anywhere I want is a huge deal. I‘m multitasking with 5-6 desktops on the Mac so I have to switch them all the time between 2 screens. This is going to make a huge difference in terms of workflow
2024-03-29,This one going banger with apple ecosystem....peoples with most apple products will probably buy this one.
2024-03-29,"""Choo Choo Mountain is on my neck.""

Most profound review of Vision Pro yet."
2024-03-29,"After watching days of reviews, a genius idea just came to me - a knit cap for your head that looks just like the Vision Pro front lens cover, perhaps the inside is lined with material similar to the strap. You are also the only reviewer to mention using that case as a pillow, which I wondered about the first review I saw it in...  and you are teh only reviewer to carefully snip your ""Hey Siri"" not to trigger viewers devices. Thanks for the great review!"
2024-03-29,Great review Justine! Nice to see so many examples of the UI and use-cases
2024-03-29,"Guys, I think she recorded this at 3:30 AM since her iPhone was in Sleep focus with an Alarm set for 6 AM, the dedication is UNREAL Justine"
2024-03-29,grown ass women sat alone at home with a headset on. This is the future?
2024-03-29,I’d think the voice control is going to be the best way to get text in there. I use Voice Control on my Apple devices all the time.
